2019/2/28,木,23.5,1.9,17.9,8.3,9.0,50.0,2.2,2.5,0.3,6.5,1.2,0.3
2019/3/1,金,79.0,122.5,131.5,116.4,62.7,71.4,290.9,18.5,7.2,96.4,88.8,68.5
2019/3/2,土,173.5,221.9,232.7,238.6,223.8,71.4,290.9,18.5,7.2,96.4,88.8,68.5
2019/3/3,日,16.4,4.3,2.8,7.1,2.2,71.4,290.9,18.5,7.2,96.4,88.8,68.5
2019/3/4,月,23.1,15.7,3.4,3.4,3.1,4.3,1.7,3.4,4.6,4.9,3.1,1.2
2019/3/5,火,270.7,326.2,322.8,260.2,243.2,367.3,247.8,170.7,228.7,131.8,235.2,143.8
2019/3/6,水,54.3,92.6,12.3,25.6,74.1,146.3,41.4,38.0,1.2,39.5,34.9,14.5
2019/3/7,木,57.4,170.1,104.9,67.9,7.4,324.1,359.1,214.5,125.6,157.7,76.5,54.5
2019/3/8,金,188.3,174.4,349.4,127.8,210.8,115.0,84.1,111.9,82.3,49.0,57.0,9.4
2019/3/9,土,168.5,66.4,252.5,164.2,166.0,115.0,84.1,111.9,82.3,49.0,57.0,9.4
2019/3/10,日,95.2,179.6,39.5,49.4,78.1,115.0,84.1,111.9,82.3,49.0,57.0,9.4
