1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月4日,火,0,0,0,0,0.3,0,0,0,0,0,0,0
1月5日,水,0,0,0,0,0,0,0.6,0,0,0,0,0.3
1月6日,木,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3
1月7日,金,0.3,0.3,0,0,0.3,0.2,0,0.4,0,0.1,0,0
1月8日,土,0,0,0,0,0,0.2,0,0.4,0,0.1,0,0
1月9日,日,0,0,0,0,0,0.2,0,0.4,0,0.1,0,0
1月10日,月,0,0,0,0,0.3,0.2,0,0.4,0,0.1,0,0
1月11日,火,0,0,0,0,0,0.3,0,0,0,0,0,0
1月12日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,木,0,0,0,0,0,0.3,0,0,0,0,0,0
1月14日,金,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1
1月15日,土,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1
1月16日,日,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1
1月17日,月,0,0,0,0,0,0,0,0,0.3,0.3,0,0
1月18日,火,0.3,0,0,0,0,0,0,0,0,0,0,0
1月19日,水,0,0,0,0,0,0,0,0,0,0.3,0,0
1月20日,木,0,0,0.3,0,0,0,0,0,0,0,0,0
1月21日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,日,0,0,0.3,0,0,0,0,0,0,0,0,0
1月24日,月,0.3,0,0,0,0,0,0,0,0,0,0,0
1月25日,火,0,0,0,0,0,0,0,0,0.3,0.3,0,0
1月26日,水,0,0,0,0.6,0,0,0,0,0,0.3,0,0
1月27日,木,0,0,0,0,0.3,0,0,0,0,0.3,0,0
1月28日,金,0,0,0,0,0,0,0,0.1,0,0,0.1,0
1月29日,土,0,0,0,0,0,0,0,0.1,0,0,0.1,0
1月30日,日,0.3,0,0,0,0.3,0,0,0.1,0,0,0.1,0
1月31日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月合計,,1.2,0.3,0.6,0.6,1.5,1.4,0.9,2.5,0.9,1.9,0.3,0.9
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,火,0,0.3,0.3,0,0,0,0,0,0,0.3,0,0
2月2日,水,0,0,0,0,0,0,0,0,0.3,0,0,0
2月3日,木,0.3,0,0,0.3,0,0,0,0,0,0,0,0
2月4日,金,0.9,0,0,0.3,0.3,0.1,0.1,0,0,0,0,0.1
2月5日,土,0,0,0.6,0.3,0,0.1,0.1,0,0,0,0,0.1
2月6日,日,0,0.3,0,0.3,0,0.1,0.1,0,0,0,0,0.1
2月7日,月,1.2,0.6,0,0,0.3,0,0,0,0,0.3,0,0
2月8日,火,0,0.3,0,0,0.3,0,0,0,0,0,0,0
2月9日,水,0.6,0,2.8,0,0,0,0,0,0,0,0.3,0
2月10日,木,0.3,0,0.3,0,0.3,0,0,0.1,0,0,0,0
2月11日,金,0,0.3,0.3,0.9,0,0,0,0.1,0,0,0,0
2月12日,土,0,0,0,0.3,0.3,0,0,0.1,0,0,0,0
2月13日,日,0,0.6,0,0,0,0,0,0.1,0,0,0,0
2月14日,月,0,0,0,0,0.3,0,0,0,0,0,0,0
2月15日,火,0.6,0,0.6,0.3,0.3,0.3,0,0.6,0.3,0,0,0.6
2月16日,水,0,0.6,0.6,0,0.6,0.3,0.3,0,0.3,2.2,0.3,0
2月17日,木,1.5,1.2,1.5,2.8,0.3,0,1.5,0,0.3,1.5,0,0.3
2月18日,金,1.2,0.9,1.9,0.9,0,3.2,1,1.2,0.5,2,0.3,0.5
2月19日,土,1.5,3.1,5.2,1.9,1.5,3.2,1,1.2,0.5,2,0.3,0.5
2月20日,日,0.6,1.5,0.6,0.3,1.5,3.2,1,1.2,0.5,2,0.3,0.5
2月21日,月,1.2,1.5,1.5,0.9,0.6,2.5,0.9,1.2,1.2,2.5,0.9,0.9
2月22日,火,1.5,1.5,1.2,0.6,1.5,3.7,0.6,1.2,1.5,0.9,1.2,0.3
2月23日,水,6.8,15.1,15.4,8.3,10.8,25,17.3,7.7,16.7,27.8,19.8,18.2
2月24日,木,27.2,79.9,164.8,56.5,63.6,53.7,98.5,42.3,59.9,105.2,79.9,63.9
2月25日,金,314.2,237.7,393.8,246.3,194.4,403.1,559.4,304.5,707,538,224.8,355.2
2月26日,土,236.7,233.3,300.9,202.8,224.4,403.1,559.4,304.5,707,538,224.8,355.2
2月27日,日,343.2,230.6,309.6,319.4,189.5,403.1,559.4,304.5,707,538,224.8,355.2
2月28日,月,5.2,6.8,28.7,26.5,27.8,1.5,7.4,6.8,19.8,0.6,8,15.7
2月合計,,944.7,816.1,1230.6,869.9,718.6,1306.2,1808,977.3,2222.8,1761.3,785.7,1167.3
3月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
3月1日,火,1.9,6.5,21,6.5,9,21.3,16.4,7.4,6.2,8.6,9.3,5.6
3月2日,水,46.9,28.4,86.7,98.8,28.1,1493.5,887.3,262.3,240.4,338,487.7,108.3
3月3日,木,43.8,18.8,59.9,51.2,32.7,125.6,11.4,151.5,102.8,113.9,67.6,40.4
3月4日,金,34.9,7.7,21.6,24.1,30.2,292.3,232.2,489.9,265.5,269.3,164.8,127.9
3月5日,土,121,108.3,122.2,77.2,101.9,292.3,232.2,489.9,265.5,269.3,164.8,127.9
3月6日,日,194.1,256.8,230.6,232.7,180.9,292.3,232.2,489.9,265.5,269.3,164.8,127.9
3月7日,月,2.2,8.3,17,23.8,3.7,14.2,3.7,25.9,8.3,2.5,4.3,3.1
3月8日,火,176.9,168.5,144.8,144.1,101.5,221,276.2,212,222.5,192.9,284.6,112
3月9日,水,216.4,229.6,319.1,203.4,250.3,1424.1,905.9,804,736.4,791.7,549.7,246
3月10日,木,144.4,237,226.5,157.1,99.4,573.8,361.4,225,279.9,292.3,423.8,111.7
3月11日,金,210.8,99.4,189.8,114.8,122.2,870,894.3,472,372.3,303.9,274.1,270.4
3月12日,土,23.1,131.8,86.4,57.4,76.2,870,894.3,472,372.3,303.9,274.1,270.4
3月13日,日,152.8,287.3,258.6,216,205.2,870,894.3,472,372.3,303.9,274.1,270.4
3月14日,月,384.3,376.5,492,260.8,158.6,870,1240.7,629.3,785.5,1546,967.4,574.7
3月15日,火,207.7,127.2,308.3,213.9,181.5,400.6,481.9,561.7,211.8,434.6,553.7,369.4
3月16日,水,588,199.7,591.4,393.8,124.4,1991,1745,1258,1365.2,1125,1137.1,952.4
3月17日,木,246.9,365.1,182.4,220.1,148.1,180.6,161.1,100.3,180.8,138.3,151.2,162.3
3月18日,金,70.1,113.6,114.5,112,39.8,234,149,368.6,64.3,292.4,336,124.6
3月19日,土,238.9,227.2,160.2,158.9,104,234,149,368.6,64.3,292.4,336,124.6
3月20日,日,244.1,158.1,171.3,176.3,124.4,234,149,368.6,64.3,292.4,336,124.6
3月21日,月,19.4,27.8,37.3,20.7,37.6,234,149,368.6,64.3,292.4,336,124.6
3月22日,火,49.1,99.4,403.1,42.6,96.6,78.4,166.6,173.2,75.3,164.2,204.5,37
3月23日,水,394.1,319.1,521.9,272,155.2,1268.9,1444.8,1951.9,1117.9,1265.5,671.5,177.1
3月24日,木,121.6,158.9,162,167.3,76.5,312.6,260.8,133.1,56.7,107.4,164.1,390.4
3月25日,金,188,172.2,280.9,150.9,278.4,407.3,362,489,370.1,339.9,381.1,51.7
3月26日,土,182.7,113.3,287.9,199.7,243.2,407.3,362,489,370.1,339.9,381.1,51.7
3月27日,日,49.7,145.3,172.2,135.5,93.9,407.3,362,489,370.1,339.9,381.1,51.7
3月28日,月,24.1,39.5,28.7,45.4,17.6,55.5,104.4,113.9,124.7,72.5,47.8,43.2
3月29日,火,32.4,25.3,62,108,55.2,318.6,236.1,325,123.8,171.2,276.8,83.6
3月30日,水,37.1,20.1,97.9,30.9,40.7,204.1,192.9,227.7,47,240.1,188.1,117.6
3月31日,木,138.6,130.6,124.1,67.6,47.8,305.5,300,212.3,227.2,376.6,469.1,177.5
3月合計,,4586,4407.3,5982.3,4183.5,3264.8,15504.1,13858.1,13201.6,9193.3,11290.2,10462.3,5560.7
4月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
4月1日,金,61.1,75,277.2,63.6,52.4,671.6,543.1,381.6,233.4,373,251.8,118.9
