1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月4日,水,0,0,0.3,0,0,0,0,0,0,0,0,0
1月5日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月6日,金,0,0,0,0,0,0.2,0,0,0,0,0,0
1月7日,土,0,1.2,0,0.3,0,0.2,0,0,0,0,0,0
1月8日,日,0,0,0.3,0,0,0.2,0,0,0,0,0,0
1月9日,月,0,0,0,0,0,0.2,0,0,0,0,0,0
1月10日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月11日,水,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3
1月12日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月15日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,月,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0
1月17日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,木,0,0,0,0,0.3,0,0,0,0,0,0,0
1月20日,金,0,0,0,0,0,0,0,0,0,0.2,0,0
1月21日,土,0,0,0,0,0,0,0,0,0,0.2,0,0
1月22日,日,0,0.3,0,0,0,0,0,0,0,0.2,0,0
1月23日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月24日,火,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0
1月25日,水,0,0,0.6,0,0,0,0,0,0.3,0,0,0
1月26日,木,0,0,0,0,0,0,0,0,0,0,0,0.3
1月27日,金,0,0,0,0,0.3,0.2,0,0,0,0,0,0.1
1月28日,土,0,0,0,0,0,0.2,0,0,0,0,0,0.1
1月29日,日,0.3,0.3,0.3,0.3,0,0.2,0,0,0,0,0,0.1
1月30日,月,0,0,0,0,0,0.3,0,0,0,0,0,0
1月31日,火,0,0,0.6,0.3,0,0,0,0,0,0,0,0
1月合計,,0.9,2.1,2.7,0.9,0.6,2,0,0.3,0.3,0.6,0.3,0.9
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,水,0.3,0.6,0,0.3,0.3,0,0,0.3,0,0,0,0
2月2日,木,0,0,0,0,0,0,0,0,0,0,0,0
2月3日,金,0,0,0,0.3,0,0,0,0,0,0,0,0
2月4日,土,0,0,0,0,0,0,0,0,0,0,0,0
2月5日,日,0,0,0,0,0,0,0,0,0,0,0,0
2月6日,月,0,0,0.3,0,0,0,0.3,0,0,0,0,0
2月7日,火,0.3,0,0.3,0,0,0,0,0,0,0,0,0
2月8日,水,0,0,0,0,0,0,0,0,0,0,0,0
2月9日,木,0,0.3,0,0,0.6,0,0,0,0,0,0,0
2月10日,金,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0
2月11日,土,0.3,0,0,0.3,0.6,0.1,0.2,0.1,0.2,0,0,0
2月12日,日,0,0.3,0,0,0,0.1,0.2,0.1,0.2,0,0,0
2月13日,月,0,0.3,0,0,0,0,0.3,0,0,0,0,0
2月14日,火,0,0,0,0,0.6,0,0,0,0,0,0,0
2月15日,水,0,0,0.3,0,0,0,0,0,0,0,0,0
2月16日,木,0,0,0.3,0.3,0,0,0,0,0,0,0.3,0
2月17日,金,0,0.6,0.3,0,0,0.3,0,0.1,0,0,0,0
2月18日,土,0,0,0,0,0,0.3,0,0.1,0,0,0,0
2月19日,日,0,0,0.6,0,0,0.3,0,0.1,0,0,0,0
2月20日,月,0,0,0,0.6,0,0,0.3,3.1,0.6,0.3,0,0.6
2月21日,火,0,0.3,0,0,0,0.3,0.6,0.3,0.3,0.3,0,0
2月22日,水,0,0,0,0,0.3,0.6,0.3,0,0,0.9,0,0
2月23日,木,0.3,0,0,0,0,0.6,0.3,0.3,0,0,0,0.3
2月24日,金,0.6,1.2,0,1.2,1.2,2.1,4.7,3.2,5.2,2.9,0.5,0.8
2月25日,土,0.3,0.9,0,0,0,2.1,4.7,3.2,5.2,2.9,0.5,0.8
2月26日,日,0.3,1.5,0.3,0.9,1.2,2.1,4.7,3.2,5.2,2.9,0.5,0.8
2月27日,月,0,0,1.2,0.6,0.3,1.9,1.9,2.8,0.9,2.8,0.6,0.6
2月28日,火,1.2,1.2,1.9,1.9,0.3,0,0.8,0.3,0,0.3,0,0.6
2月29日,水,0,0.3,0,0.3,0,0,0,0.6,0,0,0,0
2月合計,,3.6,7.5,5.5,6.7,5.4,10.9,19.5,17.9,18,13.3,2.4,4.5
3月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
3月1日,木,1.5,2.2,0,1.2,1.2,0.9,0,0,0.9,1.5,0,0.6
3月2日,金,0.9,6.5,2.2,2.5,0.3,9.9,11.4,1.6,3.7,1.2,1.5,3.9
3月3日,土,28.1,39.8,17,24.7,45.7,9.9,11.4,1.6,3.7,1.2,1.5,3.9
3月4日,日,11.1,10.5,4.6,11.1,4.6,9.9,11.4,1.6,3.7,1.2,1.5,3.9
3月5日,月,0.3,1.5,1.9,0,1.9,1.9,0.5,0.3,1.5,1.2,1.2,0.6
3月6日,火,131.8,176.5,86.7,130.6,209.9,68.5,221.3,489.8,218.8,495.4,127.5,178.4
3月7日,水,159.3,181.2,89.2,126.2,199.1,503.1,225.8,243.2,175.9,226.9,104.2,78.1
3月8日,木,54.6,139.5,51.5,69.4,87.3,19.4,14.8,35.5,9.3,69.4,8.6,16.4
3月9日,金,6.5,5.9,13.9,4.3,1.2,53,38.2,40.7,18.4,45.3,61.2,23.7
3月10日,土,6.2,9.9,1.9,19.4,5.6,53,38.2,40.7,18.4,45.3,61.2,23.7
3月11日,日,25.9,59.6,50.3,30.9,38.6,53,38.2,40.7,18.4,45.3,61.2,23.7
3月12日,月,76.5,56.2,64.2,125.3,34.3,248.1,82.9,124.1,47.2,134.6,86.6,54.6
3月13日,火,71.3,61.7,46.6,91.7,30.9,168.5,67.9,85.2,32.4,37.3,19.8,39.2
3月14日,水,29.6,32.7,30.6,31.8,15.4,60.8,85.5,45.4,37,39.8,23.8,26.9
3月15日,木,20.1,18.2,49.1,46.9,38.3,168.8,102.2,143.5,92.9,欠測,30.2,29
3月16日,金,1.9,11.7,20.7,46.9,7.4,94.5,29.8,123.7,39.4,32.1,11.9,15.3
3月17日,土,4.6,1.2,29.8,46.9,4.6,94.5,29.8,123.7,39.4,32.1,11.9,15.3
3月18日,日,14.8,14.8,29.8,46.9,21.9,94.5,29.8,123.7,39.4,32.1,11.9,15.3
3月19日,月,45.4,39.5,51.2,33,64.8,174.6,168.7,53.6,73.8,148.6,25.7,26.7
3月20日,火,33.3,32.1,18.8,34.6,26.2,174.6,168.7,53.6,73.8,148.6,25.7,26.7
3月21日,水,24.1,26.2,44.4,50.6,25.3,78.4,97.8,151.2,101.5,82.1,57.4,83.6
3月22日,木,41.3,24.4,8.6,35.2,20.1,68.8,112,46.9,17,45.7,42.6,9.6
3月23日,金,9.6,19.1,7.4,5.6,9.9,56.3,30.5,38.6,22.4,46.5,31.9,16.9
3月24日,土,22.5,54.6,22.2,11.4,40.7,56.3,30.5,38.6,22.4,46.5,31.9,16.9
3月25日,日,66.7,56.5,44.4,34,42.6,56.3,30.5,38.6,22.4,46.5,31.9,16.9
3月26日,月,30.2,15.1,32.1,16.2,31.5,11.1,34.4,37.9,42.9,8.3,30.8,17.9
3月27日,火,8.3,7.4,31.5,16.2,14.2,22.5,48.6,39.2,29.6,38.9,12.1,11.2
3月28日,水,21.3,32.4,36.1,16.2,22.5,164.5,92.1,79.6,62.6,106.2,225.9,98.4
3月29日,木,9.6,59.9,24.4,14.2,10.5,46.6,53.1,58.7,33.7,46.3,14.2,26.6
3月30日,金,29.1,15,67.3,24,19.2,70.9,30.2,57.2,22.2,20,15.7,11.3
3月31日,土,122.5,15,117.3,63.6,84.6,70.9,30.2,57.2,22.2,20,15.7,11.3
3月合計,,1108.9,1226.8,1095.7,1211.5,1160.3,2764,1966.4,2415.9,1346.9,2046.1,1187.2,926.5
4月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
4月1日,日,13.9,15,16.3,63.6,30.5,70.9,30.2,57.2,22.2,20,15.7,11.3
4月2日,月,1.9,2.5,9.9,3.4,4.6,18.2,22.9,20.4,15.4,20.4,9,8.1
4月3日,火,17,13.9,23.2,36.4,11.4,15.5,8.6,9.5,2.7,4.9,1.5,6.1
4月4日,水,13.9,7.4,17.9,36.4,8.6,20,15.2,37.3,26.9,4.9,6.5,7.7
4月5日,木,2.4,11.8,6.8,3.1,4.4,35.2,8.8,8.9,7.7,7.4,2.8,10.8
4月6日,金,25.3,32.1,20.6,36.1,34.9,44.3,28.2,21.6,4.4,11.7,8.1,9.1
4月7日,土,6.8,4.6,7.1,7.1,5.5,44.3,28.2,21.6,4.4,11.7,8.1,9.1
4月8日,日,1.5,3.7,4.9,3.7,5,44.3,28.2,21.6,4.4,11.7,8.1,9.1
4月9日,月,27.7,40.7,54.7,33.6,24,14.8,36.7,11.7,11.7,8.6,4.9,21.6
4月10日,火,4.9,17,13.9,4.4,19.5,58,14.6,8.3,9.9,7.1,10.2,7.1
4月11日,水,25,17.2,27.8,19.4,23.4,32.8,12.5,15,10.2,5.2,0.9,12.1
4月12日,木,27.5,36.4,44.4,34.8,25.9,170.4,96.8,65.4,44.1,54.6,4.6,35.2
4月13日,金,36.4,78.7,57.4,51.5,52.8,20.7,5.1,11,7.1,3.7,3.7,9.8
4月14日,土,1.8,3.1,6.8,3.7,1.5,20.7,5.1,11,7.1,3.7,3.7,9.8
4月15日,日,7.4,4.6,3.7,4.6,2.7,20.7,5.1,11,7.1,3.7,3.7,9.8
4月16日,月,6.1,4.9,5.2,5.5,3.7,12.6,13.8,6.2,5.2,3.1,2.4,6.5
4月17日,火,4.4,4.6,2.4,6.5,0.9,11.5,13.7,5.6,5.5,10.2,2.8,5
4月18日,水,2.7,4.3,4.3,5.3,0.6,8,3.9,6.2,5.5,5.8,1.2,1.8
4月19日,木,8,10.8,9.6,11.4,6.4,14.5,18.2,11.5,10.8,4.4,0.9,7.4
4月20日,金,20.3,34,23.2,25.6,21.3,2.6,2.6,1.9,1.2,0.2,0,1.5
4月21日,土,2.1,1.5,2.2,0.9,1.2,2.6,2.6,1.9,1.2,0.2,0,1.5
