1月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平
3月19日,月,152.8,225.2,231,198.3,55.6,443.5,512.4,224.1,698.8,143.4,313.3
3月20日,火,152.8,225.2,231,198.3,55.6,443.5,512.4,224.1,698.8,143.4,313.3
3月21日,水,69.1,54.9,146.3,131.2,85.2,265.7,149.4,176.6,88.3,77.7,75
3月22日,木,84.9,59.2,72.5,75,53.4,169.7,189.8,155.9,79.9,84.5,84.3
3月23日,金,9,0.9,9.5,0.1,2.4,74.5,60.1,68.5,36.8,6.4,21.3
3月24日,土,9,0.9,9.5,0.1,2.4,74.5,60.1,68.5,36.8,6.4,21.3
3月25日,日,9,0.9,9.5,0.1,2.4,74.5,60.1,68.5,36.8,6.4,21.3
3月26日,月,435.2,142.3,401.5,314.5,621.6,631.1,499.7,736.7,617.3,495.9,291.7
3月27日,火,198.5,122.6,182.4,182.4,448.4,355.6,259.9,195,224.1,116,188.8
3月28日,水,81.5,36.7,82.4,88.6,129.3,158.3,94.8,116.7,129.9,63.8,82.1
3月29日,木,10.5,6.8,7.4,9,4,21.6,17.6,52.8,20.1,12.1,12.1
3月30日,金,21,10.6,24.1,14.5,19.1,81,48.6,70.1,21.3,19.4,13.8
3月31日,土,21,10.6,24.1,14.5,19.1,81,48.6,70.1,21.3,19.4,13.8
3月合計,,2585.1,1570.8,2680.9,2281.4,2323.3,6867.7,7157.4,6170,6251.7,2401.6,2747.7
4月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平
4月1日,日,21,10.6,24.1,14.5,19.1,81,48.6,70.1,21.3,19.4,13.8
4月2日,月,50.9,15.7,53.4,25.3,43.2,386.1,170.3,161.4,47.8,43.2,62.7
4月3日,火,99.7,50.4,110.5,174,40.8,429,292.6,242.6,215.1,273.8,193.8
4月4日,水,64.8,46.8,66.1,39.8,90.8,184.9,180.8,230.5,63.9,107.7,33
4月5日,木,57.5,70.4,75.4,66.4,23.2,297.6,124.7,83,100,59.9,63.1
4月6日,金,6.2,2.2,12.6,9.3,5.9,121,42.5,57.9,11.5,6.4,15.7
4月7日,土,6.2,2.2,12.6,9.3,5.9,121,42.5,57.9,11.5,6.4,15.7
4月8日,日,6.2,2.2,12.6,9.3,5.9,121,42.5,57.9,11.5,6.4,15.7
4月9日,月,2.1,0.3,2.7,4.9,1.5,79.9,85.5,12.9,1.5,23.5,2.8
4月10日,火,3.1,0.6,2.5,6.8,3.4,139.5,102.1,13,7.8,2.1,1.2
4月11日,水,20.6,16,16.4,11.8,15.2,69.4,67.9,20.7,20.1,16.1,9.3
4月12日,木,81.8,43.2,65.4,25.3,74.3,447.2,557.7,237.6,117.9,113.5,63.9
4月13日,金,122.7,88.9,112.6,96.5,97.9,210.5,201.8,90.5,47.5,49.9,51
4月14日,土,122.7,88.9,112.6,96.5,97.9,210.5,201.8,90.5,47.5,49.9,51
4月15日,日,122.7,88.9,112.6,96.5,97.9,210.5,201.8,90.5,47.5,49.9,51
4月16日,月,55.6,33.1,48.9,40.6,20.4,106.8,76.9,129.4,58,18.8,25.6
4月17日,火,37,28.7,55.5,42,25.6,108.4,53.7,125.9,29.6,12.9,24.7
4月18日,水,1.5,0.3,6.1,1.8,0.3,12.6,16.6,50.6,8.6,6.5,1.5
4月19日,木,18.5,17.4,11.4,2.4,21,20.4,19.4,44.2,17.3,17.2,5
4月20日,金,17.6,6.7,15.8,9.7,22.1,45.2,52.9,52.7,10.5,14.9,5.4
4月21日,土,17.6,6.7,15.8,9.7,22.1,45.2,52.9,52.7,10.5,14.9,5.4
4月22日,日,17.6,6.7,15.8,9.7,22.1,45.2,52.9,52.7,10.5,14.9,5.4
4月23日,月,16.3,7.1,17.3,14.8,25,24.4,25.4,53.7,26.5,14.5,20.4
4月24日,火,17,6.8,12.6,4.9,5.2,11.4,42.6,24.7,30,12.6,2.4
4月25日,水,2.8,0.9,1.8,4.3,2.4,5.5,4.3,13,0.3,1.8,0.6
4月26日,木,6.7,3.4,4.9,5,3.7,10.2,11.4,11.1,0.9,1.5,0.6
4月27日,金,1.2,0.5,3.9,0.9,0.9,3.5,1.5,4.6,2.6,1.2,1
4月28日,土,1.2,0.5,3.9,0.9,0.9,3.5,1.5,4.6,2.6,1.2,1
4月29日,日,1.2,0.5,3.9,0.9,0.9,3.5,1.5,4.6,2.6,1.2,1
4月30日,月,1.2,0.5,3.9,0.9,0.9,3.5,1.5,4.6,2.6,1.2,1
4月合計,,1001.2,647.1,1013.6,834.7,796.4,3558.4,2778.1,2146.1,985.5,963.4,744.7
5月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平
5月1日,火,0.6,0.9,0,0.9,1.8,0.9,0.6,8.1,1.2,0.3,0.3
5月2日,水,1,0.6,1.7,0.7,2,6.7,4.6,2.1,0.3,0.3,0.2
5月3日,木,1,0.6,1.7,0.7,2,6.7,4.6,2.1,0.3,0.3,0.2
5月4日,金,1,0.6,1.7,0.7,2,6.7,4.6,2.1,0.3,0.3,0.2
5月5日,土,1,0.6,1.7,0.7,2,6.7,4.6,2.1,0.3,0.3,0.2
5月6日,日,1,0.6,1.7,0.7,2,6.7,4.6,2.1,0.3,0.3,0.2
5月7日,月,1.8,0,0,0,2.4,11.1,15.4,2.8,2.1,0.3,0.9
5月8日,火,0.9,0.3,0,0,0.3,0.6,0,1.2,0,0,0
5月9日,水,1.9,2.5,1.9,1.2,0.3,2.8,0.3,1.8,0.3,1.2,1.5
5月10日,木,3.4,1.2,2.2,0.9,1.2,6.2,2.5,4.9,2.2,0.6,0.9
5月11日,金,1.5,1.4,1.6,1.3,1.3,3.1,2.4,2.4,1.8,0.6,0.4
5月12日,土,1.5,1.4,1.6,1.3,1.3,3.1,2.4,2.4,1.8,0.6,0.4
5月13日,日,1.5,1.4,1.6,1.3,1.3,3.1,2.4,2.4,1.8,0.6,0.4
5月合計,,18.1,12.1,17.4,10.4,19.9,64.4,49,36.5,12.7,5.7,5.8
