1??,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
3??11??,??,184.5,153.7,181.8,263.9,109.4,346.9,-,252.7,124.4,112,130.5,,
3??12??,??,168.5,128.8,110.2,169.8,239.4,395.6,243.8,380.9,118.2,184,64.5,,
3??13??,??,95.4,56.8,116.3,121.2,94.1,144.4,232.4,217.3,95.1,76.2,76.5,,
3??14??,??,84,79,128.4,64.2,140.7,132.4,292.9,145.7,189.8,127.5,99.7,,
3??15??,??,142.1,72.3,141.4,145.4,85.2,342.7,629.2,308.4,139.8,157.8,99.9,,
3??16??,?y,142.1,72.3,141.4,145.4,85.2,342.7,629.2,308.4,139.8,157.8,99.9,,
3??17??,??,142.1,72.3,141.4,145.4,85.2,342.7,629.2,308.4,139.8,157.8,99.9,,
3??18??,??,172.5,131.5,222.4,157.3,222.8,362.7,602.8,358.6,291.7,167,156.5,,
3??19??,??,146,79,165.6,85.8,242.6,330.3,252.7,194.8,332.7,152.1,165.1,,
3??20??,??,139,86.1,124.9,60.2,290.9,963.3,813,260.9,191.8,119.6,70.1,,
3??21??,??,139,86.1,124.9,60.2,290.9,963.3,813,260.9,191.8,119.6,70.1,,
3??22??,??,72.7,34.7,54.4,50.2,97.2,273.2,139.2,72.7,64.7,84.5,16.7,,
3??23??,?y,72.7,34.7,54.4,50.2,97.2,273.2,139.2,72.7,64.7,84.5,16.7,,
3??24??,??,72.7,34.7,54.4,50.2,97.2,273.2,139.2,72.7,64.7,84.5,16.7,,
3??25??,??,4.9,9.5,12.4,6.5,20.7,17.9,21,23.8,9.8,5.5,14.5,,
3??26??,??,6.5,5.2,9.9,5.5,1.2,16.6,22,11.1,9.9,10.5,2.8,,
3??27??,??,20,13.9,25,14.2,42.3,153.7,19.2,109.9,69.1,100,13.6,,
3??28??,??,19.1,13.9,29,17,19.7,132.5,77.4,40.1,35.5,28.4,23.2,,
3??29??,??,62.9,31.7,24,93.8,21.3,257.1,194.8,99.5,101.3,56.8,19,,
3??30??,?y,62.9,31.7,24,93.8,21.3,257.1,194.8,99.5,101.3,56.8,19,,
3??31??,??,62.9,31.7,24,93.8,21.3,257.1,194.8,99.5,101.3,56.8,19,,
?R?????v,,4855.4,2544,4157.6,4321.8,6096.5,13418.9,13537.2,8422.7,5622,4342.2,3012.1,0,0
4???@?@,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
4??1??,??,91,55.2,94.2,58.9,45.4,293.8,80,92.6,181.5,78.4,105.9,,
4??2??,??,66,40.8,81.1,24.4,32.7,215.4,62.9,38.3,102.5,73.2,25,,
4??3??,??,136.3,51.8,113.9,68.2,172.8,611.1,320.7,271.6,287.7,156.8,117.3,,
4??4??,??,56.5,16.7,50,34.9,38.6,144.5,203.1,111.4,83.9,83,16.9,,
4??5??,??,6.8,3.2,7.5,6.7,12.1,21,13.6,5.3,6.2,6,5.4,,
4??6??,?y,6.8,3.2,7.5,6.7,12.1,21,13.6,5.3,6.2,6,5.4,,
4??7??,??,6.8,3.2,7.5,6.7,12.1,21,13.6,5.3,6.2,6,5.4,,
4??8??,??,15.7,6.8,14.8,11.1,7.1,45.1,38.6,16,20,4.9,13.6,,
4??9??,??,10.5,3.7,10.5,7.7,12.6,31.5,18.2,13,6.8,8.9,1.8,,
4??10??,??,5.8,3.1,2.8,8,1.5,6.5,3.1,1.9,6.2,3.4,0.9,,
4??11??,??,0.9,0.6,0.6,0.6,3.1,8,6.2,5.9,0.9,1.2,1.2,,
4??12??,??,8.2,4.8,9.5,4.4,2.2,20.4,4.4,10.4,14.4,1.4,5.9,,
4??13??,?y,8.2,4.8,9.5,4.4,2.2,20.4,4.4,10.4,14.4,1.4,5.9,,
4??14??,??,8.2,4.8,9.5,4.4,2.2,20.4,4.4,10.4,14.4,1.4,5.9,,
4??15??,??,3.4,2.8,7.1,2.5,13.2,15.7,46.9,9.9,18.3,7.4,6.2,,
4??16??,??,4,2.2,3.7,1.2,5.8,6.8,21.3,0.9,2.8,2.1,2.3,,
4??17??,??,1.2,0.9,4.9,0.9,1.5,3,5.6,4.3,5.5,1.9,4.6,,
4??18??,??,3.4,2.2,1.8,6,6,2.1,7.4,2.5,3.1,1.2,0.3,,
4??19??,??,0.8,0.2,0.7,0.3,0.2,0.2,2.4,0.5,0.5,0.2,0,,
4??20??,?y,0.8,0.2,0.7,0.3,0.2,0.2,2.4,0.5,0.5,0.2,0,,
4??21??,??,0.8,0.2,0.7,0.3,0.2,0.2,2.4,0.5,0.5,0.2,0,,
4??22??,??,0.6,0,0,0.3,0.6,0.3,0.6,0.9,0.6,0,0,,
