１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日,曜,千,葛,杉,北,大,青,八,多,町,立,府,小
付,日,代,飾,並,,田,梅,王,摩,田,川,中,平
,,田,,,,,,子,,,,,
3月9日,木,36.7,31.8,54.3,34.3,43.5,34.3,39.7,17.6,17.3,28.1,14.8,9.6
3月10日,金,75.6,78.1,106.5,123.5,95.7,90.7,64.8,56.3,49.6,79.9,16.2,24
3月11日,土,36.1,73.1,147.8,105.2,84.9,90.7,64.8,56.3,49.6,79.9,16.2,24
3月12日,日,19.4,19.1,21.9,21.3,26.2,90.7,64.8,56.3,49.6,79.9,16.2,24
3月13日,月,14.8,10.5,10.8,7.4,5.2,18.2,12,11.7,13,51.2,2.8,6.3
3月14日,火,52.5,121.6,97.5,92.6,44.8,26.5,21.6,36.1,29.3,6.2,7.7,8.9
3月15日,水,55.2,96.6,94.1,91.7,85.5,72.8,45.5,19.1,15.1,36.4,26.5,54.5
3月16日,木,177.1,148.5,168.2,145.7,78.4,168.8,141,37,52.8,42.6,58,73.2
3月17日,金,173.7,212.9,172,187,155.5,157.3,72.4,48.2,55.7,30.6,59.8,23.8
3月18日,土,94.5,116.4,109.3,166.4,111.1,157.3,72.4,48.2,55.7,30.6,59.8,23.8
3月19日,日,129.6,172.6,180.9,80.2,156.8,157.3,72.4,48.2,55.7,30.6,59.8,23.8
3月20日,月,110.5,55,67,103.4,58.1,157.3,72.4,48.2,55.7,30.6,59.8,23.8
3月21日,火,83.3,54.9,106.5,134.6,84.2,172.5,53.1,59.3,52.2,42.3,83,37.1
3月22日,水,129.9,125,143.2,84.3,136.1,83.9,93.2,83.9,38,53.4,101.3,29
3月23日,木,40.1,81.8,37,186.5,40.1,26.9,24.4,15.1,14.8,14.8,46.6,8.8
3月24日,金,36.4,66.4,51,81.1,48.8,16.3,20.8,6.6,19.8,8.8,1.1,5.8
3月25日,土,10.8,13,16.6,13.5,12.6,16.3,20.8,6.6,19.8,8.8,1.1,5.8
3月26日,日,35.5,8.9,24.4,20,35.2,16.3,20.8,6.6,19.8,8.8,1.1,5.8
3月27日,月,12,43.7,10.5,7.7,7.7,37.9,33.9,9.9,13,10.2,16.1,13
3月28日,火,8.6,7.1,10.2,20.4,16.6,31.1,12.2,7.1,13.9,16.4,5.5,9.7
3月29日,水,14.8,38.3,20.4,13.9,16.9,26.3,26.7,24.7,25.6,28.4,4.6,10.8
3月30日,木,127.2,92.6,235.5,151.5,105.3,179,152,125.3,86.4,136.4,27.5,48.1
3月31日,金,35.2,46.6,35.2,56.5,11.2,27.2,15.6,14.9,6.6,10.6,4.5,1.4
3月合計,,2284.4,2527.6,2838.5,2632.7,2140.1,3562.9,2114.4,1484.2,1234.6,1446.5,1512,772.7
,,,,,,,,,,,,,
4月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日,曜,千,葛,杉,北,大,青,八,多,町,立,府,小
付,日,代,飾,並,,田,梅,王,摩,田,川,中,平
,,田,,,,,,子,,,,,
4月1日,土,25.4,24,23.1,42.3,18.8,27.2,15.6,14.9,6.6,10.6,4.5,1.4
4月2日,日,56.8,21.9,12.7,109.9,57.4,27.2,15.6,14.9,6.6,10.6,4.5,1.4
4月3日,月,31.1,34.6,43.5,25.6,34.5,53.1,32.7,25,33.4,17.3,1.5,24.4
4月4日,火,35.8,30.5,17.2,23.7,24.7,48.1,34.3,22.3,20.6,17,3.1,6.1
4月5日,水,30.9,16.7,45.7,36.2,23.4,35.5,26.6,18.2,15.8,32.1,24.4,5.6
4月6日,木,43.2,16.1,40.4,64.8,21.4,41.7,33.4,37,15.4,11.8,15.4,26.6
4月7日,金,2.4,5.3,4.3,5,2.8,32.2,16.1,11.3,4.4,9.9,10.6,13
4月8日,土,1.8,5.9,6.1,4,0.6,32.2,16.1,11.3,4.4,9.9,10.6,13
4月9日,日,27.8,61.4,36.4,53.4,52.5,32.2,16.1,11.3,4.4,9.9,10.6,13
4月10日,月,12.6,15.5,17.6,15.8,15.5,11.8,12.7,7.1,11.5,1.5,4.6,6.5
4月11日,火,4.4,6.4,8.6,6.8,2.8,7.7,2.7,0,1.9,0.6,0.9,4.3
4月12日,水,27.8,32.7,34.6,42.6,35.2,43.2,66.3,24.1,42.6,17.3,45,17.6
4月13日,木,220,282.4,39.2,173.7,249.7,76.2,63,46.3,70,50.3,86.4,94.6
4月14日,金,298.8,166.6,275.9,218.2,188,12.5,61.2,11.3,76.2,35.1,7.4,41.3
4月15日,土,207.1,83.3,192,123.5,97.2,12.5,61.2,11.3,76.2,35.1,7.4,41.3
4月16日,日,73.5,48.2,57.4,28.7,48.5,12.5,61.2,11.3,76.2,35.1,7.4,41.3
4月17日,月,7.4,8.6,31.8,27.4,17,15.4,5.7,2.8,10.5,38.2,4,5.5
4月18日,火,54,38,107.4,91.4,44.7,46,40.7,36.4,84,35.2,62,13.7
4月19日,水,66.1,76.5,46.3,79.6,71.3,27.8,72.9,19.1,25.8,19.1,32.1,15.1
4月20日,木,5.2,10.5,10.5,6.5,5.5,13.3,3,3.4,5.2,2.2,11.7,2.2
4月21日,金,2.5,1.5,4.3,3.7,6.8,4.1,1.4,1.8,1.6,2.3,1.8,1.4
4月22日,土,2.2,3.4,2.5,2.5,2.5,4.1,1.4,1.8,1.6,2.3,1.8,1.4
4月23日,日,3.1,2.4,2.5,0.3,0.9,4.1,1.4,1.8,1.6,2.3,1.8,1.4
4月24日,月,2.8,1.8,1.5,1.8,1.2,10.8,1.9,2.2,6.2,2.2,2.5,1.2
4月25日,火,1.5,0.9,2.2,2.5,1.5,4.9,3.1,1.2,3.4,3.4,3.1,3.7
4月26日,水,3.1,0.9,4,2.5,2.4,3.4,4.6,4,15.1,5.2,46.9,2.8
4月27日,木,0.3,2.5,1.5,2.2,1.8,2.1,2.6,1.2,1.5,2.1,※,0
4月28日,金,0.6,0.6,1.5,0.6,1.5,8.2,11.2,6.2,5.8,6.2,4.2,12
4月29日,土,3.7,7.1,6.2,3.7,2.1,8.2,11.2,6.2,5.8,6.2,4.2,12
4月30日,日,5.2,4.9,8,2.2,6.5,8.2,11.2,6.2,5.8,6.2,4.2,12
4月合計,,1257.1,1011.1,1084.9,1201.1,1038.7,666.4,707.1,371.9,640.1,437.2,424.6,435.8
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　※：欠測?,,,,,,,,,,,,,
,,,,,,,,,,,,,
5月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
日,曜,千,葛,杉,北,大,青,八,多,町,立,府,小
付,日,代,飾,並,,田,梅,王,摩,田,川,中,平
,,田,,,,,,子,,,,,
5月1日,月,1.9,3.7,3.4,1.5,1.9,10.2,4.9,1.5,10.5,4,9.2,4
5月2日,火,0.6,0.6,0.9,0,0,1.4,2,2.2,0.9,0.6,0.9,1.3
5月3日,水,0.3,0,0,0.6,0,1.4,2,2.2,0.9,0.6,0.9,1.3
5月4日,木,0.9,0.6,0.9,0,0,1.4,2,2.2,0.9,0.6,0.9,1.3
5月5日,金,1.5,0,2.2,2.5,1.9,1.4,2,2.2,0.9,0.6,0.9,1.3
5月6日,土,2.5,1.5,3.4,1.2,0.9,1.4,2,2.2,0.9,0.6,0.9,1.3
5月7日,日,0.6,5.8,1.5,0,0.3,1.4,2,2.2,0.9,0.6,0.9,1.3
5月8日,月,1.5,0.3,2.5,0.6,1.8,0.6,2.5,1.5,6.8,1.2,2.2,0.6
5月9日,火,0.9,0.6,1.2,0,1.2,3.1,0.6,0.6,0.3,1.2,0.9,0
5月10日,水,0,0.3,0,0,0,0,0.9,0,0,0.9,0.3,0
5月11日,木,0.3,0.3,0.3,0,0.6,0.3,0.6,0,0,1.5,0,0
5月12日,金,0.3,1.2,0.3,0.3,0.6,0.1,0.2,0,0,0.1,0.1,0.2
5月13日,土,1.5,0,0,0,0,0.1,0.2,0,0,0.1,0.1,0.2
5月14日,日,0,0,0.3,0,0,0.1,0.2,0,0,0.1,0.1,0.2
5月合計,,12.8,14.9,16.9,6.7,9.2,22.9,22.1,16.8,23,12.7,18.3,13
