1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
3月15日,土,21.3,15.4,36.4,24.4,28.7,151.9,216.6,127.4,85.4,100.9,25.7,43.1
3月16日,日,67.9,58.3,102.2,116.7,87.3,151.9,216.6,127.4,85.4,100.9,25.7,43.1
3月17日,月,64.5,106.5,113.6,36.7,95.1,172.8,93.8,52.3,52.8,95.4,183,54.3
3月18日,火,92.9,62.7,97.2,34.3,63.9,430.5,256.8,148.5,160.8,113.6,91.6,55.9
3月19日,水,8.6,3.4,38,17.9,14.2,21,18.5,14.8,10.8,14.2,8.3,9.6
3月20日,木,61.1,38.3,104.6,125.9,35.8,63,66.3,47.9,110.2,53.3,108.6,46.5
3月21日,金,129.9,77.8,140.7,154.9,82.4,63,66.3,47.9,110.2,53.3,108.6,46.5
3月22日,土,9.8,48.1,17.6,9.6,8.3,63,66.3,47.9,110.2,53.3,108.6,46.5
3月23日,日,19.1,25.9,34.2,21.3,38.6,63,66.3,47.9,110.2,53.3,108.6,46.5
3月24日,月,32.7,67,72.9,197.5,77.5,77.5,51.5,69.4,75.3,41.4,94.8,76.8
3月25日,火,121.3,174.7,123.2,20.7,70.4,83,92.9,72.2,167.9,5.2,43.2,99.1
3月26日,水,54,61.1,67,0.9,34.3,41,9.6,37.5,70.4,47.8,35.5,5.2
3月27日,木,22.2,54,41.4,20.7,34,67,29.9,12.6,12.7,14.2,33.9,32.4
3月28日,金,117.7,108.3,137.7,126.9,195.1,81.3,56.3,181.6,26.9,38.8,53.9,24
3月29日,土,216,200.7,235.2,238.5,133,81.3,56.3,181.6,26.9,38.8,53.9,24
3月30日,日,154,46.9,167,104.1,81.5,81.3,56.3,181.6,26.9,38.8,53.9,24
3月31日,月,124.1,75,105.5,56.5,83.6,156.5,401.5,101.8,81.8,20.7,40.7,59.3
3月合計,,1671.1,1599.7,2232.3,1643.7,1589.5,2811.5,2605.8,2500.5,1873.1,1458.4,1501.8,955.7
4月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
4月1日,火,25,68.5,105.5,24.1,20.7,37.3,27.4,35.2,22.9,41.4,14.8,5.6
4月2日,水,2.7,5.9,27.5,4.3,4.6,63.6,33.3,5.8,5.6,18.2,5.9,4.7
4月3日,木,1.5,2.5,11.8,4.7,5,4.7,0.6,1.8,0,1.5,0,0.9
4月4日,金,235.2,121.3,234.9,69.2,226.2,245.5,83.3,195.2,69.1,6.5,79.5,54.9
4月5日,土,179.1,193.2,231.1,226.9,279.3,245.5,83.3,195.2,69.1,6.5,79.5,54.9
4月6日,日,11.1,17.3,15.7,16.1,14.5,245.5,83.3,195.2,69.1,6.5,79.5,54.9
4月7日,月,14.2,16.7,18.9,22.5,16.7,5.2,23.6,17.6,16.6,13.9,10.5,13.9
4月8日,火,22.6,35.2,38.3,23.5,32.7,328.6,28.4,37.1,34.2,30.5,21.6,13.6
4月9日,水,63.9,74.1,48.2,33.1,109.5,67.9,80.3,25.3,22.9,9.6,21.8,16.7
4月10日,木,164.9,140.1,157.7,55.5,129.1,186.1,2.8,139.8,79.4,4.6,49.2,45.7
4月11日,金,113.3,39.2,102.8,19.2,124.4,6.4,27.8,40.6,23.5,22.2,14.2,9.2
4月12日,土,8.3,7.1,8.9,4,10.8,6.4,27.8,40.6,23.5,22.2,14.2,9.2
4月13日,日,4.9,10.5,8.7,13.6,7.7,6.4,27.8,40.6,23.5,22.2,14.2,9.2
4月14日,月,9.2,12.6,12,5.2,5.5,16.7,5.2,16.9,7.4,3.1,11.2,8.9
4月15日,火,116.7,191.2,170.4,103.4,244.8,114.5,119.4,55.3,147.2,31.2,80,76.9
4月16日,水,139.2,102.8,149.4,136.7,205.2,35.2,66.7,55.5,96.6,20.7,57.4,53.4
4月17日,木,121.6,165.4,158.6,177.5,90.7,75.9,54.3,11.7,38.3,59.3,17,32.7
4月18日,金,5.5,4.3,1.5,4,1.2,3.8,1,3.2,2.3,1.8,1.7,2.4
4月19日,土,4.3,9.6,5.3,8.3,8,3.8,1,3.2,2.3,1.8,1.7,2.4
4月20日,日,1.5,3.8,0.6,1.9,1.2,3.8,1,3.2,2.3,1.8,1.7,2.4
4月21日,月,2.5,1.8,2.2,0.3,2.8,3.4,3.1,3.4,1.2,0.6,2.3,2.1
4月22日,火,8.1,3.4,4.3,2.8,1.2,5.1,1.2,1.5,0.6,1.2,1.7,5.6
4月23日,水,23.4,9,25.9,17,20.3,1.9,5.2,12,24.7,7.4,6.8,7.8
4月24日,木,13.3,54.6,28.4,33.7,8,17.6,4.3,16.3,9.6,4.6,12.6,9
4月25日,金,39.5,61.1,53.7,29.9,47.8,30,5.6,17.8,19.2,2.8,18.5,8.7
4月26日,土,4.6,10.5,6.8,7.1,2.8,30,5.6,17.8,19.2,2.8,18.5,8.7
4月27日,日,4.3,14.5,17.3,9.9,4.3,30,5.6,17.8,19.2,2.8,18.5,8.7
4月28日,月,13.6,9.9,22.2,10.8,12,5,1.6,5,3.7,1.7,0.3,2.2
4月29日,火,6.5,4.6,4.6,8,2.8,5,1.6,5,3.7,1.7,0.3,2.2
4月30日,水,7.1,5.2,4,4.3,6.5,1.9,0,0.9,0.3,0.6,0.3,0.6
