１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月4日,月,0,0,0,0.1,0,0.3,0,0,0.3,0,0,0
1月5日,火,0,0,0,0.1,0,0,0,0,0,0,0,0
1月6日,水,0,0,0,0.1,0,0,0,0,0,0,0,0
1月7日,木,0,0,0,0.1,0.3,0,0,0,0,0,0,0
1月8日,金,0.6,0,0,0,0,0,0,0,0.1,0,0,0
1月9日,土,0.9,0,0,0,0,0,0,0,0.1,0,0,0
1月10日,日,1.9,0,0,0,0,0,0,0,0.1,0,0,0
1月11日,月,0.6,0,0,0,0,0,0,0,0.1,0,0,0
1月12日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,水,0.3,0,0,0,0,0,0,0,0,0,0,0
1月14日,木,0.3,0,0,0,0,0,0,0,0,0,0,0
1月15日,金,0,0,0,0,0,0.1,0,0,0,0,0,0.1
1月16日,土,0,0,0,0,0,0.1,0,0,0,0,0,0.1
1月17日,日,0,0,0,0,0,0.1,0,0,0,0,0,0.1
1月18日,月,0,0,0,0,4.6,0,0,0,0,0,0,0
1月19日,火,0,0,0.6,0.3,0.6,0,0,0.3,0.6,0,0,0.3
1月20日,水,0,0,0,0.9,0,0.3,0,0,0,0,0.3,0
1月21日,木,0.3,0,0.3,0,0.6,0,0,0,0,0,0,0
1月22日,金,0,0,0,0,0,0,0,0,0,0,0,0.1
1月23日,土,0,0,0,0,0,0,0,0,0,0,0,0.1
1月24日,日,0,0.3,0.6,0,0.9,0,0,0,0,0,0,0.1
1月25日,月,0,0,0,0.3,0,0,0,0,0,0,0,0
1月26日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月27日,水,0,0,0.3,0,0,0,0,0,0,0,0,0
1月28日,木,0,0.3,0,0,0,0,0,0,0,0,0,0
1月29日,金,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0
1月30日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月31日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月合計,,5.2,0.9,1.8,2.2,7,0.9,0,0.3,1.3,0,0.3,0.9
2月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,月,0,0,0,0,0,0,0,0,0,0,0,0
2月2日,火,0,0,0,0,0,0,0,0,0,0,0,0
2月3日,水,0,0,0,0.6,0,0.3,0,0,0,0,0,0
2月4日,木,0,0,0,0,0,0,0,0,0,0,0,0
2月5日,金,0,0,0,0,0,0.1,0,0,0,0,0,0.1
2月6日,土,0,0,0.3,0.3,0,0.1,0,0,0,0,0,0.1
2月7日,日,0.3,0,0,0,0,0.1,0,0,0,0,0,0.1
2月8日,月,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0.3
2月9日,火,0.6,0.9,2.2,0.6,1.9,0.6,0,0.9,0.3,0,0,0.6
2月10日,水,0.3,0,0.3,0.6,0,0,0,0.2,0,0,0.1,0
2月11日,木,0.3,0,0,0,0,0,0,0.2,0,0,0.1,0
2月12日,金,0.6,0.6,0,0,0,0,0,0,0,0,0.1,0
2月13日,土,2.5,1.5,1.2,2.8,1.5,26.5,4,0.6,2.2,1.3,0.8,0.4
2月14日,日,10.8,13,13,7.7,10.2,177.2,26.6,4,14.5,8.6,4.6,2.4
2月15日,月,11.7,12,5.6,3.4,6.2,54.3,7.3,10.2,12.3,23.5,13.9,11.7
2月16日,火,31.2,24.4,44.1,22.5,27.5,31.5,9,16.4,18.8,6.5,10.2,9.6
2月17日,水,3.7,0.6,10.8,2.2,5.2,34,3.4,13,8.6,2.8,7.7,1.5
2月18日,木,8.6,5.2,4.6,4,9.6,6.5,1.5,4.6,4.9,3.7,1.9,1.5
2月19日,金,36.2,33.1,22.5,29,61.7,75.9,18.4,26.5,13.3,38.5,23.3,13
2月20日,土,13.6,1.9,14.8,7.7,9.3,75.9,18.4,26.5,13.3,38.5,23.3,13
2月21日,日,18.5,0.6,52.2,15.4,71.1,75.9,18.4,26.5,13.3,38.5,23.3,13
2月22日,月,22.4,24.2,20.1,24.1,23.8,26.2,13.3,20.7,19.4,1.5,6.5,1.9
