１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
3月13日,金,67.3,69.4,76.5,100.3,29.6,54.8,33.8,57.6,5.9,28.7,27.1,24
3月14日,土,81.2,118.2,102.2,111.5,77.2,54.8,33.8,57.6,5.9,28.7,27.1,24
3月15日,日,64.5,83.3,38.3,68.2,78.4,54.8,33.8,57.6,5.9,28.7,27.1,24
3月16日,月,13,133.5,12.3,17,97.7,21.3,15.4,11.7,29,34.6,4.6,15.1
3月17日,火,75.6,133.5,118.9,90.7,97.7,95,100.6,109.5,134.2,43.5,64.2,71.9
3月18日,水,81.5,64.5,55.5,71.3,51.5,39.5,50.6,65.4,74.4,22.8,51.8,25.6
3月19日,木,19.7,18.2,15.4,37.4,16,41.4,9.9,44.1,25,12,22.5,10.5
3月20日,金,156.5,245.7,186.1,135.2,152,104.9,81.6,133.1,68.4,77.5,103.4,66.8
3月21日,土,239.8,217.9,202.8,189.5,173.6,104.9,81.6,133.1,68.4,77.5,103.4,66.8
3月22日,日,406.2,405.3,409.6,346.3,336.5,104.9,81.6,133.1,68.4,77.5,103.4,66.8
3月23日,月,292.6,287.3,309.6,396.6,155.5,180.3,112.1,204.9,192.6,36.7,54.7,90.4
3月24日,火,143.2,71,158.1,129.3,170.4,155.9,110.2,64.5,91,81.8,88.5,68.9
3月25日,水,38.5,29,21,18.9,23.2,30,14.5,49.4,35.8,22.8,20.8,20
3月26日,木,17.9,23.5,28.7,25.6,45,53.4,39.5,26.3,19.7,19.7,24.7,16.4
3月27日,金,61.4,56.8,113.5,60.5,85.2,99.2,91.8,59.2,70.5,19,74.7,10
3月28日,土,156.5,109.9,145,179,119.1,99.2,91.8,59.2,70.5,19,74.7,10
3月29日,日,116,109.9,140.7,150.3,136.9,99.2,91.8,59.2,70.5,19,74.7,10
3月30日,月,43.2,49.7,74.4,50,27.1,99.4,48.8,38.9,64.2,29.9,24.7,10.8
3月31日,火,206.4,115.8,283.7,159.8,153.1,222.5,117.9,160.5,174.7,29,103.4,58
3月合計,,3858.2,3735.5,3928.9,3823.8,3459.3,3571.5,3365.3,3601.9,2218.3,1776.2,1761.3,1254.8
4月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
4月1日,水,94.2,66.3,51.2,54.6,46.3,107.1,34.6,32.4,71.9,6.2,57.4,10.8
4月2日,木,11.4,5.2,11.7,8.3,11.2,23.1,7.1,23.7,15.1,0.6,6.8,6.2
4月3日,金,30.3,15.2,36.1,30,26.8,37.9,3.2,17.7,28.6,3.6,21.6,13.1
4月4日,土,10.5,6,12.1,15.5,10.2,37.9,3.2,17.7,28.6,3.6,21.6,13.1
4月5日,日,0.9,2.2,8,5.3,2.8,37.9,3.2,17.7,28.6,3.6,21.6,13.1
4月6日,月,19.4,8,12.6,21.3,12.9,22.8,11.7,5.3,9.6,5.8,5.3,3.4
4月7日,火,14.8,6.9,12.9,21.6,5.6,5.5,1.8,2.1,3.4,0.6,0.9,0.3
4月8日,水,1.8,1.6,3.1,6.2,1.5,8.6,0.6,4,2.4,3.4,0.9,2.1
4月9日,木,8.8,15.1,8.3,14.5,7.4,2.1,15.2,1.2,2.5,1.5,2.1,1.5
4月10日,金,3.6,6.6,16.9,3.4,3.1,6.3,0.4,1,1.3,0.5,1.1,1.2
4月11日,土,5.4,9.5,7.7,6.5,6.7,6.3,0.4,1,1.3,0.5,1.1,1.2
4月12日,日,1.4,2.4,0.6,4.6,0.6,6.3,0.4,1,1.3,0.5,1.1,1.2
4月13日,月,12.9,24.3,37.7,22.8,60.8,1.5,1.2,0.6,3.1,0.3,0.3,0
4月14日,火,1.2,0.3,0.6,0,0.3,0.6,1.5,0.9,2.8,1.8,1.2,0
4月15日,水,5,8.8,4,5.2,8.6,14.5,7.1,0.9,3.1,7.4,5.9,0.9
4月16日,木,6.5,7.1,7.4,8.3,11.4,2.8,1.5,2.5,2.5,1.2,1.8,1.5
4月17日,金,10.5,4.9,6.5,12.3,5.5,1.1,3.3,2.7,4,0.9,0.7,2.6
4月18日,土,10.2,5.5,12.6,7.1,7.1,1.1,3.3,2.7,4,0.9,0.7,2.6
4月19日,日,2.8,3.4,3.4,2.5,0.9,1.1,3.3,2.7,4,0.9,0.7,2.6
4月20日,月,13,3.1,7.7,12.7,12.4,3.1,0.6,2.7,3.1,2.8,0,0
4月21日,火,6.2,4.6,4,5.5,2.2,0.9,2.2,3.4,1.8,3.1,1.2,1.5
4月22日,水,1.5,4,1.5,1.2,0.9,0.9,0.3,2.4,0.6,0.9,0.6,1.9
4月23日,木,4.9,11.4,4.3,6.4,4.3,2.8,0.6,4,0.9,1.8,0.6,2.5
4月24日,金,0.9,3.1,1.8,3.4,0,0.1,0.8,2.1,0.5,1.9,1.7,1
4月25日,土,2.2,2.8,3.1,2.5,2.4,0.1,0.8,2.1,0.5,1.9,1.7,1
4月26日,日,1.2,0.9,0.6,1.2,1.2,0.1,0.8,2.1,0.5,1.9,1.7,1
4月27日,月,0.9,1.9,0.9,2.8,0.6,0,0.6,1.5,0,1.2,0.9,1.5
4月28日,火,0.3,0.6,0.3,0.3,0.6,0.5,0.2,0.5,0.2,0.3,0.9,0.3
4月29日,水,0,0,0,0,0,0.5,0.2,0.5,0.2,0.3,0.9,0.3
4月30日,木,0.6,0,0.3,0.3,0.3,0.3,1.8,0,0,0,0.3,0.9
4月合計,,283.3,231.7,277.9,286.3,254.6,333.8,111.9,159.1,226.4,59.9,163.3,89.3
5月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
5月1日,金,0.3,0.3,0,0,0,0,0.9,0.2,0.2,0.9,0.4,0.6
5月2日,土,0,0.3,0,0,0,0,0.9,0.2,0.2,0.9,0.4,0.6
5月3日,日,0,0,0.3,0.3,0,0,0.9,0.2,0.2,0.9,0.4,0.6
5月4日,月,0.3,0.3,0.9,0,0.3,0,0.9,0.2,0.2,0.9,0.4,0.6
5月5日,火,0.6,0.6,0.3,0,0,0,0.9,0.2,0.2,0.9,0.4,0.6
5月6日,水,0,0,0,0,0,0,0.9,0.2,0.2,0.9,0.4,0.6
5月7日,木,0,0.3,0,0.6,0.9,0.3,0.6,0.3,0,0.6,0.6,0
5月8日,金,0.3,0.3,0.6,0,0,0.7,0.2,0.2,0,0.7,0.1,0.7
5月9日,土,0,0,0.3,0,1.2,0.7,0.2,0.2,0,0.7,0.1,0.7
5月10日,日,0.3,0,0.6,0.9,0.9,0.7,0.2,0.2,0,0.7,0.1,0.7
5月11日,月,0.3,0,0,0,0,0.6,0,0.3,0.3,0,0.3,0
5月12日,火,2.1,2.8,2.1,1.5,0,0,0.6,0.6,0,0,0,0.6
5月13日,水,0,0.3,0,0.6,0,0,0.3,0,0,0.3,0,0.6
5月合計,,4.2,5.2,5.1,3.9,3.3,3,7.5,3,1.5,8.4,3.6,6.9
