1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
1月4日,水,0,0,0,0,0,0,0,0,0,0,0,0,
1月5日,木,0,0,0,0.3,0,0,0,0,0,0,0,0,
1月6日,金,0,0,0,0,0,0.2,0,0,0,0,0,0,
1月7日,土,0,0,0,0,0,0.2,0,0,0,0,0,0,
1月8日,日,0,0,0,0,0,0.2,0,0,0,0,0,0,
1月9日,月,0,0,0,0,0,0.2,0,0,0,0,0,0,
1月10日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月11日,水,0,0,0,0.6,0,0.3,0,0,0,0,0,0,
1月12日,木,0.3,0,0,0,3.7,0,0,0,0,0,0,0,
1月13日,金,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月14日,土,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月15日,日,0,0,0,0,0,0.1,0,0,0,0,0,0,
1月16日,月,0,0,0,0,0,0,0,0,0,0,0,0,
1月17日,火,0,0,0,0,0,0,0.5,0,0,0,0,0,
1月18日,水,0,0,0,0,0,0,0,0,0,0,0,0,
1月19日,木,0,0,0,0,0,0.3,0.3,0,0,0,0,0,
1月20日,金,0,0,0,0,0,0,0,0,0,0,0,0,
1月21日,土,0,0,0,0,0,0,0,0,0,0,0,0,
1月22日,日,0,0,0,0,0,0,0,0,0,0,0,0,
1月23日,月,0,0,0,0.5,0,0.6,0,0,0,0,0,0,
1月24日,火,0,0,0,0.3,0,0,0,0,0,0,0,0,
1月25日,水,0,0,0,0,0,0,0,0,0,0,0,0,
1月26日,木,0,0,0,0,0,0,0,0.3,0,0,0,0,
1月27日,金,0,0.1,0,0,0.1,0,0,0,0,0,0,0,
1月28日,土,0,0.1,0,0,0.1,0,0,0,0,0,0,0,
1月29日,日,0,0.1,0,0,0.1,0,0,0,0,0,0,0,
1月30日,月,0,0,0,0,0,0,0,0,0,0,0,0,
1月31日,火,0,0,0,0,0,0,0,0,0,0,0,0,
1月合計,,0.3,0.3,0,1.7,4,2.3,0.8,0.3,0,0,0,0,
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
2月1日,水,0,0,0,0,0,0.3,0,0,0,0,0,0,
2月2日,木,0,0,0,0,0,0.3,0,0,0,0,0,0,
2月3日,金,0.3,0,0.1,0.2,0.2,0.3,0,0.1,0,0.1,0.2,0,
2月4日,土,0.3,0,0.1,0.2,0.2,0.3,0,0.1,0,0.1,0.2,0,
2月5日,日,0.3,0,0.1,0.2,0.2,0.3,0,0.1,0,0.1,0.2,0,
2月6日,月,0,0,0,0,0,0.3,0,0,0,0,0,0,
2月7日,火,0.3,0,0,0,0,0,0,0,0,0,0,0,
2月8日,水,0,0,0,0,0,0,0,0,0,0,0,0,
2月9日,木,0,0,0.3,0,0.6,0,0,0,0,0,0,0,
2月10日,金,1.4,0.1,1.1,0.3,1.9,0.1,0.1,0.3,0.4,0.3,0.5,0,
2月11日,土,1.4,0.1,1.1,0.3,1.9,0.1,0.1,0.3,0.4,0.3,0.5,0,
