1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
2月12日,日,1.4,0.1,1.1,0.3,1.9,0.1,0.1,0.3,0.4,0.3,0.5,0,
2月13日,月,2.5,4.3,1.5,0,2.5,0,0,0,0.6,0.3,0.6,0,
2月14日,火,13.3,11,10.5,6,25.2,1.2,3.4,4,6.5,9.3,7.4,4,
2月15日,水,8.2,4.2,4.3,3.7,18.1,0.9,0.3,4.3,1.2,3.4,2.5,1./,
2月16日,木,0,0,0,0.3,0,0,0.3,0.3,0,0,0,0.3,
2月17日,金,2.2,1.1,2.2,4.6,7,13.2,13.1,5.5,7.6,6.2,4.9,2,
2月18日,土,2.2,1.1,2.2,4.6,7,13.2,13.1,5.5,7.6,6.2,4.9,2,
2月19日,日,2.2,1.1,2.2,4.6,7,13.2,13.1,5.5,7.6,6.2,4.9,2,
2月20日,月,0.2,0.3,0.3,0.8,0.3,0.3,2.2,1.2,0.6,4.3,0,0.3,
2月21日,火,1.4,1.2,2,1.4,2.5,0.6,0.3,0,0.6,0.6,0.6,0.6,
2月22日,水,51.9,52.6,31.6,35.2,67.6,11.4,34.3,17,32.4,23.1,33,13.3,
2月23日,木,66.7,25.9,50.9,65.7,143.5,54.9,47,30.9,42.3,16.4,24,12.7,
2月24日,金,9.7,1.8,10.6,12.2,13.2,31,22.8,11.4,9.3,15.5,12.2,4.6,
2月25日,土,9.7,1.8,10.6,12.2,13.2,31,22.8,11.4,9.3,15.5,12.2,4.6,
2月26日,日,9.7,1.8,10.6,12.2,13.2,31,22.8,11.4,9.3,15.5,12.2,4.6,
2月27日,月,31.8,15.4,31.8,40.7,34.1,53.7,61.4,32.1,58.3,66,25.6,14.2,
2月28日,火,28.4,3.1,15.9,23.8,36.7,5.9,4.9,1.9,8,3.4,12.3,0,
2月合計,,245.5,127,191.1,229.5,398,263.6,262.1,143.6,202.4,193.1,159.4,65.2,
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
3月1日,水,3.4,3.4,3.5,5.2,2.2,0.9,14.2,17.6,5.9,24.1,5.2,1.9,
3月2日,木,24.4,14,33.3,19.8,46.6,22.8,19,16.7,82.7,31.5,18.2,15.7,
3月3日,金,30.4,32.4,41.8,36.2,20.4,58,53.2,38.2,33.1,51.7,49.4,29.7,
3月4日,土,30.4,32.4,41.8,36.2,20.4,58,53.2,38.2,33.1,51.7,49.4,29.7,
3月5日,日,30.4,32.4,41.8,36.2,20.4,58,53.2,38.2,33.1,51.7,49.4,29.7,
3月6日,月,64.8,38.3,99.7,111.9,66.7,69.4,136.4,79.3,157.7,103.7,66.4,74.4,
3月7日,火,19.8,10.3,34,38.6,54.3,48.7,33.3,13.3,22.2,16.7,17.9,13.9,
3月8日,水,42.4,33.6,47.5,60,80.2,86.1,60.8,58.9,61.7,39.8,47.8,31.8,
3月9日,木,40,22.1,46.9,50.8,73.9,24.7,13.1,18.2,21.3,12.9,7.1,9.9,
3月10日,金,26.2,25.3,35,32.7,17.8,63.9,65.7,49,41.2,47.5,20.3,32.7,
3月11日,土,26.2,25.3,35,32.7,17.8,63.9,65.7,49,41.2,47.5,20.3,32.7,
3月12日,日,26.2,25.3,35,32.7,17.8,63.9,65.7,49,41.2,47.5,20.3,32.7,
3月13日,月,26.5,17,33.3,34.6,40.6,29.6,43.1,29,30.9,40.4,25.3,15.4,
3月14日,火,9,6,16,11.6,14.4,17.9,16,15.1,13.6,17.9,14.2,12.3,
3月15日,水,2.2,2.5,3.1,2.9,4.2,5.2,5.1,5.2,4.3,1.5,1.2,2.2,
3月16日,木,11.7,13,7.2,12.1,10.3,22.2,4.5,18.9,25.7,10.5,23.1,10.2,
3月17日,金,19.4,3.1,21.1,20.1,23.3,23.3,24.2,11.7,14,18.5,15.9,12.3,
3月18日,土,19.4,3.1,21.1,20.1,23.3,23.3,24.2,11.7,14,18.5,15.9,12.3,
3月19日,日,19.4,3.1,21.1,20.1,23.3,23.3,24.2,11.7,14,18.5,15.9,12.3,
3月20日,月,10.6,3.3,10.9,7,9.5,6.2,5.8,7.7,9.9,5.4,12.8,6,
3月21日,火,10.6,3.3,10.9,7,9.5,6.2,5.8,7.7,9.9,5.4,12.8,6,
3月22日,水,3.2,0.6,0.9,1.2,5.1,2.5,3.1,0.9,2.5,1.8,1.8,0.9,
3月23日,木,2.3,0.9,2.8,0.3,2.8,9.8,4.4,5.6,5.2,7.7,5.5,1.9,
3月24日,金,25.7,14.3,26,28.2,18,14.1,13.2,21.2,25.2,15.1,19.9,10,
3月25日,土,25.7,14.3,26,28.2,18,14.1,13.2,21.2,25.2,15.1,19.9,10,
3月26日,日,25.7,14.3,26,28.2,18,14.1,13.2,21.2,25.2,15.1,19.9,10,
3月27日,月,11.8,4.5,12.6,21.9,21.4,6.2,7.4,6.5,5.3,8.6,7.7,6.2,
3月28日,火,10.6,6.7,30.7,12.2,16.5,20.4,24.7,9,18.9,20.9,13,16.7,
3月29日,水,8.4,3.7,10.3,12,8.9,6.8,5.3,4.7,14.8,6.2,7.7,5,
3月30日,木,8.3,1.9,7.4,7.7,12.5,8.3,4.5,5.2,4.9,2.8,2.8,6.5,
3月31日,金,2.3,0.7,2.3,2.2,2.7,5.6,4.2,3.4,3,2.7,1.9,1.8,
3月合計,,617.4,411.1,785,770.6,720.8,877.4,879.6,683.2,840.9,758.9,608.9,492.8,
4月　　,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
4月1日,土,2.3,0.7,2.3,2.2,2.7,5.6,4.2,3.4,3,2.7,1.9,1.8,
4月2日,日,2.3,0.7,2.3,2.2,2.7,5.6,4.2,3.4,3,2.7,1.9,1.8,
4月3日,月,12.3,2.8,3.1,10.8,30.1,13.3,29.5,48.5,25.3,28.4,20.4,5.9,
4月4日,火,9.3,6.2,10.1,8.9,21.3,20.6,23.9,9.9,19.1,10.5,8.3,2.5,
4月5日,水,1.9,2.5,3.8,0.8,5.7,3.7,1.5,5.3,2.2,4.3,3.4,2.8,
4月6日,木,20.7,7.4,19.9,14.2,25.9,14.5,15.1,11.1,22.5,10.2,8.4,5.8,
4月7日,金,5,1.7,6.5,10.6,14.8,13.5,15.8,5.5,12.2,18.2,3.2,3.9,
4月8日,土,5,1.7,6.5,10.6,14.8,13.5,15.8,5.5,12.2,18.2,3.2,3.9,
4月9日,日,5,1.7,6.5,10.6,14.8,13.5,15.8,5.5,12.2,18.2,3.2,3.9,
4月10日,月,2.1,1.4,2.6,0.6,1.5,0.9,2.3,1.2,3.1,0.3,0.6,0.6,
4月11日,火,0,0.3,0,0,0,0.6,0.6,0,0.6,0.9,0,0,
4月12日,水,0.6,0,0,0,0.3,0.6,0.3,0,0.3,1.2,0,0,
4月13日,木,6.5,2.4,0.9,4.3,4.8,2.4,3.5,0,0.9,2.8,0.6,0,
4月14日,金,15.7,4.8,13.6,9.7,25,17.6,20.7,21.3,1.6,52.2,3.9,4,
4月15日,土,15.7,4.8,13.6,9.7,25,17.6,20.7,21.3,1.6,52.2,3.9,4,
4月16日,日,15.7,4.8,13.6,9.7,25,17.6,20.7,21.3,1.6,52.2,3.9,4,
4月17日,月,5.8,3.2,4.4,6.6,6.2,4.6,5.3,9.8,1.8,4.6,3,1.8,
4月18日,火,17.1,1.7,17.1,9.7,11.4,12.7,15.3,16,4.6,19.4,0.9,1.8,
4月19日,水,4.9,3.2,4.6,3.4,4.6,2.2,3.2,5.6,2.2,3.4,0.3,0.3,
4月20日,木,6.2,0.8,1.4,3.7,2.7,2.5,2.2,2.8,9,1.8,3.4,0,
4月21日,金,0.5,0.6,0.1,0.3,0.8,0.1,0,0.6,1,4.9,0.3,0,
4月22日,土,0.5,0.6,0.1,0.3,0.8,0.1,0,0.6,1,4.9,0.3,0,
4月23日,日,0.5,0.6,0.1,0.3,0.8,0.1,0,0.6,1,4.9,0.3,0,
4月24日,月,6.9,2.3,4.5,1.5,4.6,0.3,0.3,2.5,1.9,1.5,0.9,0,
4月25日,火,2.9,1.2,5.9,1.2,3.8,0.3,5.4,0.9,2.4,2.5,0.9,0,
4月26日,水,3.8,2.5,3.4,3.4,2.9,1.5,2.5,0.6,1.2,1.2,0.9,2.2,
4月27日,木,0.9,0,0.5,0.3,0.3,0,0,0.3,0.3,0.3,0,0.3,
4月28日,金,1.2,1.4,0.4,0.3,3.4,0.9,1.1,0.3,0.8,0.6,1,0.1,
4月29日,土,1.2,1.4,0.4,0.3,3.4,0.9,1.1,0.3,0.8,0.6,1,0.1,
4月30日,日,1.2,1.4,0.4,0.3,3.4,0.9,1.1,0.3,0.8,0.6,1,0.1,
4月合計,,173.7,64.8,148.6,136.5,263.5,188.2,232.1,204.4,150.2,326.4,81,51.6,0
5月　　,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
5月1日,月,7.3,6.6,8.6,8,6,1.9,4.9,3.1,10.8,1.5,2.2,1.2,
5月2日,火,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月3日,水,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月4日,木,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月5日,金,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月6日,土,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月7日,日,0.6,0.3,1.2,1.1,0.4,0.7,0.8,0.2,0.4,1.9,0.2,0.2,
5月8日,月,0,0,0,0,0,0,0.5,0,0.3,0,0,0,
5月9日,火,0,0,0,0,0,0.9,0,0,0,0,0,0,
5月10日,水,0,0,0.3,0,0,0,0,0,0,0.3,0,0.3,
5月11日,木,0,0,0.6,0,0,0.9,1,0,0,0,0,0,
5月12日,金,0,0,0,0.2,0,0.1,0.4,0,0.1,0,0.1,0,
5月13日,土,0,0,0,0.2,0,0.1,0.4,0,0.1,0,0.1,0,
5月14日,日,0,0,0,0.2,0,0.1,0.4,0,0.1,0,0.1,0,
5月合計,,10.9,8.4,16.7,15.2,8.4,8.2,12.4,4.3,13.8,13.2,3.7,2.7,
累計,,1047.5,611.7,1140.8,1154.1,1395.5,1338.9,1387.2,1035.8,1206.9,1291.7,853.1,613.6,
