1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月4日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月5日,土,0,0,0.3,0,0,0,0,0,0,0,0,0
1月6日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月7日,月,0,0,0,0,0.3,0,0,0,0,0,0,0
1月8日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月9日,水,0.3,0,0,0,0,0,0,0,0,0,0,0
1月10日,木,0.3,0,0,0,0,0,0,0,0,0,0,0
1月11日,金,0,0,0,0,0.3,0,0,0,0,0,0,0.1
1月12日,土,0,0,0,0,0,0,0,0,0,0,0,0.1
1月13日,日,0,0,0,0,0,0,0,0,0,0,0,0.1
1月14日,月,0,0,0,0.3,0.3,0,0,0,0,0,0,0.1
1月15日,火,0,0,0,0.6,0,0,0,0,0,0,0,0
1月16日,水,0,0,0,0.3,0.3,0,0,0,0,0,0,0
1月17日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,金,0,0,0.3,0,0.3,0,0,0,0,0,0,0
1月19日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,火,0,0,0,0.3,0,0,0,0,0,0,0,0
1月23日,水,0,0,0,0,0,0,0,0.3,0,0,0,0
1月24日,木,0,0,0.3,0,0.3,0,0,0,0,0,0,0
1月25日,金,0,0,0.3,0,0,0,0,0.2,0,0,0,0
1月26日,土,0,0,0,0,0,0,0,0.2,0,0,0,0
1月27日,日,0,0,0,0,0,0,0,0.2,0,0,0,0
1月28日,月,0.3,0,0.3,0,0,0,0.6,0,0,0,0,0.3
1月29日,火,0,0.3,0,0,0,0,0,0,0,0,0,0.3
1月30日,水,0,0.3,0,0,0.3,0.3,0,0,0,0,0,0
1月31日,木,0,0.3,0,0,0,0,0,0,0,0,0,0
1月合計,,0.9,0.9,1.5,1.5,2.1,0.3,0.6,0.9,0,0,0,1
２月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
