1月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
2月26日,水,339.4,164.7,312.3,258.2,365.6,554.9,65,560.2,771.6,263,138,
2月27日,木,88.3,30.6,40.3,45.7,162.7,448.1,722.5,323.8,90.7,129.6,19.8,
2月28日,金,54.8,9.6,85.5,43.5,68.4,101.3,334.3,212.2,50.9,103.8,42.6,
２月合計,,708.7,310.2,611.4,498.5,877.1,1498.6,1567.1,1457.3,1236.4,706.5,288.4,0
3月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
3月1日,土,54.8,9.6,85.5,43.5,68.4,101.3,334.3,212.2,50.9,103.8,42.6,
3月2日,日,54.8,9.6,85.5,43.5,68.4,101.3,334.3,212.2,50.9,103.8,42.6,
3月3日,月,27.2,12.2,57.2,44.8,125,1066.4,732.4,584.2,227.5,335.8,78.1,
3月4日,火,76.1,4.6,63.7,40.9,126.9,65.7,221.6,75.9,56.8,73.4,17,
3月5日,水,20.1,10,14.8,14.8,17.6,54.6,72.2,18.5,13.9,12.7,6.5,
3月6日,木,4.3,1.5,1.4,2.2,10.3,8.9,14.5,8.6,5.3,9.9,3.7,
3月7日,金,99,11,117.6,63.8,115.4,147,246.9,136.2,50.6,124.7,45.6,
3月8日,土,99,11,117.6,63.8,115.4,147,246.9,136.2,50.6,124.7,45.6,
3月9日,日,99,11,117.6,63.8,115.4,147,246.9,136.2,50.6,124.7,45.6,
3月10日,月,40.3,5.1,48,23.8,106,90.1,175.6,136.4,11.7,93.2,17.6,
3月11日,火,42.1,79.9,40.6,18.7,81.1,55.9,72.2,84.9,34.6,60.5,20.6,
3月12日,水,41.2,16.4,23.8,25.8,30.1,76.5,85.2,58,18.8,21.9,8.6,
3月13日,木,17.9,12.7,11.3,14.7,16.8,103.1,65.4,55.2,14.2,12.9,13.3,
3月14日,金,3.5,0.6,4.7,2.9,1.5,35.1,71.7,3.6,4.8,5.1,1.1,
3月15日,土,3.5,0.6,4.7,2.9,1.5,35.1,71.7,3.6,4.8,5.1,1.1,
3月16日,日,3.5,0.6,4.7,2.9,1.5,35.1,71.7,3.6,4.8,5.1,1.1,
3月17日,月,12.8,14.2,14,12.6,11.3,30.2,4.3,18.2,5.9,24.8,17.3,
3月18日,火,19.9,27,17.9,13.3,26.2,85.5,96.3,49.1,2.8,13.2,23.2,
3月19日,水,111.8,29.4,128.7,96.7,124.7,482.1,303.1,325.6,49.7,147.2,92,
3月20日,木,85.2,26.4,80.8,76.3,130.4,124.9,202.2,146.5,72.9,123.4,46.2,
3月21日,金,85.2,26.4,80.8,76.3,130.4,124.9,202.2,146.5,72.9,123.4,46.2,
3月22日,土,85.2,26.4,80.8,76.3,130.4,124.9,202.2,146.5,72.9,123.4,46.2,
3月23日,日,85.2,26.4,80.8,76.3,130.4,124.9,202.2,146.5,72.9,123.4,46.2,
3月24日,月,40.7,34.1,80.8,57.5,57.4,251.5,276.9,127.4,18,67.6,97.3,
3月25日,火,37.8,13.4,80.2,43,60.9,113.6,66.4,106.8,60.8,38,41.1,
3月26日,水,146.6,97.7,196.2,181.9,169.6,656.5,488.3,315.1,96,230,184.6,
3月27日,木,269.9,87.8,266.7,250.3,410.4,625.9,1072.2,630.3,315.4,404,149.1,
3月28日,金,131.4,59.6,107.3,98.4,165.3,153,231.9,168.2,59.7,167.2,61.8,
3月29日,土,131.4,59.6,107.3,98.4,165.3,153,231.9,168.2,59.7,167.2,61.8,
3月30日,日,131.4,59.6,107.3,98.4,165.3,153,231.9,168.2,59.7,167.2,61.8,
3月31日,月,120.3,72.7,119.3,85.8,145,456.4,97.8,194.7,95.1,61.4,58.3,
３月合計,,2181.1,857.1,2347.6,1814.3,3024.3,5930.4,6973.3,4723.3,1765.2,3198.7,1423.8,
4月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
4月1日,火,64,45.7,62.1,40.6,146.5,150.9,147.9,67,25,35.2,42.3,
4月2日,水,0.8,3,7.7,3.4,7.4,36.7,6.8,6.1,9.2,20.7,4,
4月3日,木,28.2,20.7,29.8,42.9,50,76.2,19.1,35.5,9.2,24,13.2,
4月4日,金,55.9,29.3,65.6,34.9,78.4,196.4,79.7,69.8,45,43.4,34.1,
4月5日,土,55.9,29.3,65.6,34.9,78.4,196.4,79.7,69.8,45,43.4,34.1,
4月6日,日,55.9,29.3,65.6,34.9,78.4,196.4,79.7,69.8,45,43.4,34.1,
4月7日,月,12.1,20.2,33.9,21.9,8.2,572.2,424,46.3,11.8,15.8,29.4,
4月8日,火,26.5,9.8,25.3,13.8,26.5,150.9,104.3,46.3,13.6,13.3,6.8,
4月9日,水,76.1,28.7,103.9,63.1,127.6,364.8,71.9,92.9,146.3,73.2,51.9,
4月10日,木,31.5,14.8,36,18.3,23.6,94.7,51.9,37.3,21.3,17,17.6,
4月11日,金,10.8,7.1,14.5,11.8,22,122,88,16.5,4.7,20.7,5.6,
4月12日,土,10.8,7.1,14.5,11.8,22,122,88,16.5,4.7,20.7,5.6,
4月13日,日,10.8,7.1,14.5,11.8,22,122,88,16.5,4.7,20.7,5.6,
4月14日,月,36.9,18.1,34.3,45.3,29.1,51.8,22.8,10.5,13,12.6,15.8,
4月15日,火,1.8,2.6,4.1,3.4,3.7,8.3,6.2,3.1,1.5,4,0.6,
4月16日,水,6.1,1.8,6.5,2.6,4.1,10.4,20.4,4,4.9,5.8,5.2,
4月17日,木,90.9,58.4,108.6,62.2,75.9,109.6,92.3,38.3,18.3,6.4,61.2,
4月18日,金,21.6,3.3,15.1,11.5,8.6,32.4,12.7,0.9,20.5,10.9,7.1,
4月19日,土,21.6,3.3,15.1,11.5,8.6,32.4,12.7,0.9,20.5,10.9,7.1,
4月20日,日,21.6,3.3,15.1,11.5,8.6,32.4,12.7,0.9,20.5,10.9,7.1,
4月21日,月,17.6,2.8,56.7,15.3,24.5,37.3,19.4,19.2,18.9,12.4,10.5,
4月22日,火,1.4,1.8,4.3,4,3.1,12.6,13.2,2.8,1.5,1.5,3.7,
4月23日,水,1.7,0.9,1.7,1.5,0.5,6.8,4.9,1.5,0.9,0.9,2.1,
4月24日,木,0.4,0,1.2,0.6,1.2,0.6,2.4,3,1.2,0.6,1.2,
4月25日,金,8.6,10.1,9.6,8.2,1.1,11.4,3.8,5,2.4,4.1,3.6,
4月26日,土,8.6,10.1,9.6,8.2,1.1,11.4,3.8,5,2.4,4.1,3.6,
4月27日,日,8.6,10.1,9.6,8.2,1.1,11.4,3.8,5,2.4,4.1,3.6,
4月28日,月,8.6,6.4,9,6.9,9.6,6,8.2,0.6,2.7,3.3,4.3,
4月29日,火,8.6,6.4,9,6.9,9.6,6,8.2,0.6,2.7,3.3,4.3,
4月30日,水,4.9,3.8,5.9,3.9,11.2,8.1,3.4,1.8,0.9,2.8,2.5,
４月合計,,708.8,395.3,854.4,555.8,892.6,2790.5,1579.9,693.4,520.7,490.1,427.8,0
5月　　,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
5月1日,木,1.8,1.5,2.7,2.7,0.3,0.9,4,0.9,0,0.3,0.3,
5月2日,金,3.6,2.1,2.9,2.5,2.8,2.3,0.4,0.6,0.4,0.7,0.9,
5月3日,土,3.6,2.1,2.9,2.5,2.8,2.3,0.4,0.6,0.4,0.7,0.9,
5月4日,日,3.6,2.1,2.9,2.5,2.8,2.3,0.4,0.6,0.4,0.7,0.9,
5月5日,月,3.6,2.1,2.9,2.5,2.8,2.3,0.4,0.6,0.4,0.7,0.9,
5月6日,火,0.3,0.3,0.6,1.2,0.9,1.2,1.2,0.3,0.6,0.3,1.2,
5月7日,水,1.7,0.7,0.9,0.6,0.9,0.9,0.9,1.8,0.6,0.9,0.6,
5月8日,木,1.2,1.2,1.2,1.7,2.9,1.5,0.9,0.3,1.5,0.3,0,
5月9日,金,0.4,0.2,0.3,0.2,0.1,0.3,0.2,0,0.1,0.1,0.2,
5月10日,土,0.4,0.2,0.3,0.2,0.1,0.3,0.2,0,0.1,0.1,0.2,
5月11日,日,0.4,0.2,0.3,0.2,0.1,0.3,0.2,0,0.1,0.1,0.2,
5月12日,月,0,0,0.3,0,0.3,0,0,0.3,0,0,0.3,
5月13日,火,0,0.3,0,0,0,0,0.3,0.9,0,0,0.3,
5月14日,水,0.3,0,0.3,0,0,0,0,0,0,0,0,
5月15日,木,0.3,0,0,0,0,0,0,0,0.3,0,0,
５月合計,,21.2,13,18.5,16.8,16.8,14.6,9.5,6.9,4.9,4.9,6.9,0
