1月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
1月6日,月,0,0,0,0,0.3,0,0,0,0,0,0,
1月7日,火,0,0,0,0,0,0,0,0,0.3,0,0,
1月8日,水,0.3,0,0,0,0,0.3,0,0,0,0,0,
1月9日,木,0.3,0,0,0,0,0,0,0,0.3,0,0,
1月10日,金,0,0,0.1,0,0,0,0,0,0,0.1,0,
1月11日,土,0,0,0.1,0,0,0,0,0,0,0.1,0,
1月12日,日,0,0,0.1,0,0,0,0,0,0,0.1,0,
1月13日,月,0,0,0.1,0,0,0,0,0,0,0.1,0,
1月14日,火,0.6,0,0,0.3,0.3,0,0,0,0,0,0,
1月15日,水,0.3,0.3,0,0.6,1.5,0,0,0,0,0,0,
1月16日,木,0,0,0,0,0.3,0,0,0,0.3,0,0,
1月17日,金,0,0,0,0.1,0.1,0,0,0,0,0,0,
1月18日,土,0,0,0,0.1,0.1,0,0,0,0,0,0,
1月19日,日,0,0,0,0.1,0.1,0,0,0,0,0,0,
1月20日,月,0,0,0,0.3,0,0,0,0,0,0,0,
1月21日,火,0,0,0,0,0,0,0,0,0,0,0,
1月22日,水,0,0,0.3,0,0,0,0,0,0,0,0,
1月23日,木,0,0,0,0,0,0,0,0.3,0,0.3,0,
1月24日,金,0.1,0,0,0,0,0,0,0,0,0,0,
1月25日,土,0.1,0,0,0,0,0,0,0,0,0,0,
1月26日,日,0.1,0,0,0,0,0,0,0,0,0,0,
1月27日,月,0,0,0.3,0,0,0,0,0,0,0,0,
1月28日,火,0.3,0.3,0.6,0,0.3,0,0,0,1.5,0.3,0,
1月29日,水,0.3,0,0.3,0,1.5,0,0.3,0.6,0.3,0,0,
1月30日,木,0,0,0,0,0.3,0,0,0,0,0,0,
1月31日,金,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0,
１月合計,,2.4,0.6,1.9,1.5,4.9,0.4,0.6,0.9,2.7,1.1,0,
2月,曜日,千代田,葛飾,杉並,北,大田,青梅,あきる野,八王子,町田,調布,小平,
2月1日,土,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0,
2月2日,日,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0,
2月3日,月,0,0,0,0,0,0,0,0,0,0,0,
2月4日,火,0.3,0,0,0,0.3,0,0,0,0,0.3,0,
2月5日,水,0,0,0,0,0,0,0.9,0,0,0.3,0,
2月6日,木,0,0.3,0.3,0.3,0,0,0,0,0,0,0,
2月7日,金,0.5,0.6,0.2,0.2,0.4,0.4,0,0.2,0.8,0.5,0,
2月8日,土,0.5,0.6,0.2,0.2,0.4,0.4,0,0.2,0.8,0.5,0,
2月9日,日,0.5,0.6,0.2,0.2,0.4,0.4,0,0.2,0.8,0.5,0,
2月10日,月,0.3,0.2,0.2,0.5,1.9,1,0,1.4,1.1,0.3,0.3,
2月11日,火,0.3,0.2,0.2,0.5,1.9,1,0,1.4,1.1,0.3,0.3,
2月12日,水,15.7,11.1,3.4,6.2,11.7,26.5,23.5,37,9.9,1.2,0.9,
2月13日,木,30.4,12.7,22.2,19.1,34.7,19.1,17.9,26.2,20.1,12.3,7.4,
2月14日,金,4.5,1.3,3.4,2,0.5,17.1,10.4,18.3,24.3,8.7,2.8,
2月15日,土,4.5,1.3,3.4,2,0.5,17.1,10.4,18.3,24.3,8.7,2.8,
2月16日,日,4.5,1.3,3.4,2,0.5,17.1,10.4,18.3,24.3,8.7,2.8,
2月17日,月,7.7,2,5.9,4.8,4.6,28.1,18.8,25.6,1.5,7.1,2.2,
2月18日,火,6,5.1,2.9,5.4,11.7,6.2,7.1,4,6.5,3.1,1.2,
2月19日,水,11.6,2.8,5.1,3.4,0,11.4,42.6,6.5,8,4.6,3.7,
2月20日,木,19.8,10.2,17.9,13.1,23.3,36.1,25,60.2,64.8,34.3,9.9,
2月21日,金,32,15.6,26.2,23.5,57.5,44.7,68.8,28.4,31.5,25.3,13.8,
2月22日,土,32,15.6,26.2,23.5,57.5,44.7,68.8,28.4,31.5,25.3,13.8,
2月23日,日,32,15.6,26.2,23.5,57.5,44.7,68.8,28.4,31.5,25.3,13.8,
2月24日,月,0.9,0.3,1.4,0.6,0.9,0.9,9.6,2.2,3.4,3.1,0.3,
2月25日,火,22.2,7.9,24.4,20.1,14,77.2,61.7,55.9,37,39.5,12,
