1月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
3月13日,土,40.7,46.3,44.7,58.9,52.2,100.2,76.9,54.5,75.3,78.4,28.6,30.6,
3月14日,日,15.4,60.2,14.5,11.4,11.4,100.2,76.9,54.5,75.3,78.4,28.6,30.6,
3月15日,月,5.9,54,14.8,9.3,14.2,21.9,11.4,13.6,16.4,38.3,4.9,5.6,
3月16日,火,56.8,96.9,47.9,44.1,58,137,96.7,76.5,67.9,73.1,36.4,16.3,
3月17日,水,24.4,18.5,32.1,17.9,23.7,51.3,52,41.4,32.6,37.6,12,14.2,
3月18日,木,4.6,5.1,3.4,4.6,0.9,12,7.6,4.6,8.2,4.6,5.2,1.9,
3月19日,金,3.1,31.5,11.8,4.9,4,13.8,3.9,9.6,5.8,7.2,4.9,3.3,
3月20日,土,7.7,12.3,28.4,10.8,1.2,13.8,3.9,9.6,5.8,7.2,4.9,3.3,
3月21日,日,15.1,12.3,17,17.2,5.2,13.8,3.9,9.6,5.8,7.2,4.9,3.3,
3月22日,月,2.1,12.3,7.7,1.8,2.5,13.8,3.9,9.6,5.8,7.2,4.9,3.3,
3月23日,火,0,1.5,1.8,0.9,0.3,0.9,1.9,0.9,0.9,2.1,0.6,0.3,
3月24日,水,0.3,0.6,1.2,0.9,0.5,0.3,0.3,0.6,0,0,0,0,
3月25日,木,0.9,0.6,2.2,0.6,0,7.7,0.6,3.7,2.5,2.4,0,0.3,
3月26日,金,2.4,7.4,9.3,1.5,1.8,8.3,10.7,3.1,3.1,5.6,4,2.8,
3月27日,土,2.5,3.1,5.6,4.6,5.5,8.3,10.7,3.1,3.1,5.6,4,2.8,
3月28日,日,11.7,11.1,4,9.9,1.5,8.3,10.7,3.1,3.1,5.6,4,2.8,
3月29日,月,6.2,2.1,3.1,4.9,0.9,8.1,16.5,5.6,5.5,5.9,5.2,1.8,
3月30日,火,3.1,3.1,6.7,4.1,2.1,3.7,6.7,2.4,4.7,3.7,1.8,3.1,
3月31日,水,1.5,5.5,1.9,0.6,1.5,3.1,5.3,3.7,0.9,2.5,0.6,2.1,
3月合計,,930,1271.4,893.5,879.5,816.4,1686.9,1310.9,1155.7,1192.7,1438.8,587.4,555.7,0
4月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
4月1日,木,3,4.3,6.8,6.5,1.9,49.1,1.4,8,1.5,8.3,0.6,5.5,
4月2日,金,18.2,20.3,10.2,13.3,18.5,15.3,1,2.8,2,5,1.8,2.3,
4月3日,土,15.8,21.3,12,10.5,13.8,15.3,1,2.8,2,5,1.8,2.3,
4月4日,日,2.2,6.2,6.8,1.5,1.8,15.3,1,2.8,2,5,1.8,2.3,
4月5日,月,0,1.2,0.6,1.2,0,0.6,0.3,0.6,0.9,0.3,0,0,
4月6日,火,11.1,10.5,6.8,2.2,15.8,134.2,21.3,66.5,12.1,40.4,4.3,2.5,
4月7日,水,28.7,33.3,32.4,30,14.2,98.7,18.5,16.4,42.3,16.6,9.3,2.2,
4月8日,木,12.3,13.8,12.1,8.6,8.1,10.8,2.4,6.2,6.5,9,3.1,1.2,
4月9日,金,2.1,4.9,3.4,1.5,2.5,20.3,7.9,6.1,1.2,10.1,1,0.4,
4月10日,土,0.3,5.6,1.8,0.6,0.9,20.3,7.9,6.1,1.2,10.1,1,0.4,
4月11日,日,8.3,16.7,7.7,11.1,7.4,20.3,7.9,6.1,1.2,10.1,1,0.4,
4月12日,月,2.1,3.4,6.2,0.3,4,1.2,0.3,0.3,1.5,0,1.9,0.3,
4月13日,火,11.5,10.2,6.1,5.5,6.8,30.6,46,29.5,8.1,34,0.9,1.5,
4月14日,水,13.2,10.2,13.3,6.2,9.3,39.8,14.2,7.7,17.9,11.1,1.2,3.4,
4月15日,木,1.2,5.3,3.4,0.6,1.2,1.9,0,0.3,0,0.3,0.3,0.3,
4月16日,金,0.6,1.2,1.5,0.3,0.9,1.5,4,0.5,0.4,1.6,0.8,0,
4月17日,土,0.6,0.6,0,0.3,0.3,1.5,4,0.5,0.4,1.6,0.8,0,
4月18日,日,0,0.3,0.3,0,0,1.5,4,0.5,0.4,1.6,0.8,0,
4月19日,月,0.9,2.8,2.2,1.2,1.5,4.3,1.2,0.9,0.6,2.1,0.9,0,
4月20日,火,0.6,1.5,0.9,0,0.6,1.2,1.2,1.8,0.6,0.6,0.3,0,
4月21日,水,3,4,2.1,7.1,3.7,0.9,2.2,5.5,2,4.4,1.2,1.5,
4月22日,木,0.9,9.9,2.2,0.3,0.3,0.3,0.3,0,0.3,0,2.2,0,
4月23日,金,0.3,0.3,0.6,0.6,0,2.9,0.3,1.3,0.1,1.5,0.6,0.3,
4月24日,土,3.4,3.4,4.6,1.2,3.4,2.9,0.3,1.3,0.1,1.5,0.6,0.3,
4月25日,日,1.2,1.8,2.8,1.2,0.3,2.9,0.3,1.3,0.1,1.5,0.6,0.3,
4月26日,月,1.8,2.8,2.5,1.2,2.2,1.9,1.2,0.6,0,0,0.6,0.3,
4月27日,火,0.6,2.1,4,0.3,3.1,0,0,0,0.3,0,2.8,0.3,
4月28日,水,0.3,0.9,0.6,0,0,0,0,0.5,1.4,0.6,0,0.6,
4月29日,木,0.3,3.7,0.6,0.9,0.3,0,0,0.5,1.4,0.6,0,0.6,
4月30日,金,4,1.2,1.2,2.2,1.2,0.1,0.1,1,0.4,0.8,0.4,0.2,
4月合計,,148.5,203.7,155.7,116.4,124,495.6,150.2,178.4,108.9,183.7,42.6,29.4,0
5月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
5月1日,土,0.6,1.5,3,0.6,0.3,0.1,0.1,1,0.4,0.8,0.4,0.2,
5月2日,日,0,0,2.1,0.9,1.2,0.1,0.1,1,0.4,0.8,0.4,0.2,
5月3日,月,0.3,0,0.9,0.6,0.6,0.1,0.1,1,0.4,0.8,0.4,0.2,
5月4日,火,0.3,1.2,1.2,0.3,0.6,0.1,0.1,1,0.4,0.8,0.4,0.2,
5月5日,水,0,0.5,0.3,0.3,0,0.1,0.1,1,0.4,0.8,0.4,0.2,
5月6日,木,0.3,0.5,0.3,0.9,0.6,0,0,0,0.3,0.3,0,0,
5月7日,金,0.9,0.3,0,0.6,0.9,0.7,0.7,0.4,0.4,0.5,0,0,
5月8日,土,0.3,0.6,0,0,0.3,0.7,0.7,0.4,0.4,0.5,0,0,
5月9日,日,0.3,0.6,0.3,0,0.3,0.7,0.7,0.4,0.4,0.5,0,0,
5月合計,,3,5.2,8.1,4.2,4.8,2.6,2.6,6.2,3.5,5.8,2,1,
累計,,1260,1485.7,1315.1,1182.8,1099.1,2506.9,1660.1,1617.4,1594.3,1976.8,778.5,705.6,
