1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
2月20日,火,19.4,38.7,22.5,20.2,37,9.4,6.8,5.9,8.3,4.6,4,4.9
2月21日,水,24.8,47.8,18.1,26.9,37.7,69.4,43.2,41,30.3,47.8,27.5,15.9
2月22日,木,32.6,80.4,31.3,28.7,10.8,73.8,14.2,65.4,33,31.5,25.6,2.8
2月23日,金,37.4,6,53,32.8,106.6,114.9,74.7,104.2,126.9,83,66.3,8.4
2月24日,土,37.4,6,53,32.8,106.6,114.9,74.7,104.2,126.9,83,66.3,8.4
2月25日,日,37.4,6,53,32.8,106.6,114.9,74.7,104.2,126.9,83,66.3,8.4
2月26日,月,8,1.5,4,5.9,3.1,10.8,9.3,7.4,8.3,7.1,6.2,9.6
2月27日,火,48.6,47.8,69.4,51.5,64.8,51.9,80.6,53.4,60.2,47.2,51.5,29
2月28日,水,101.2,59.1,75.5,134.7,154.9,129.3,67.3,132.7,113,69.4,40.1,24.7
2月合計,,573.2,426,638.5,599,924.4,1011.8,584.4,972.7,873.2,686,552.9,214.3
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
3月1日,木,23.3,23,28.7,25.9,34.7,58.6,50.9,36.1,36.4,23.5,39.5,24.5
3月2日,金,27.2,20.5,29,29.9,42.4,67.2,36.7,60.1,21.5,47.8,28.8,22.5
3月3日,土,27.2,20.5,29,29.9,42.4,67.2,36.7,60.1,21.5,47.8,28.8,22.5
3月4日,日,27.2,20.5,29,29.9,42.4,67.2,36.7,60.1,21.5,47.8,28.8,22.5
3月5日,月,60.8,23.4,128.2,124,1.2,78.1,78.7,84,62.3,30.2,74.7,24.4
3月6日,火,83.6,55.2,149.4,131.5,278.1,431.4,136.1,326.8,209.6,148.5,130.8,48.1
3月7日,水,21.1,29.6,41.1,26.4,48.9,36.4,50,38,46.3,12.3,23.1,15.4
3月8日,木,13.6,9.3,12.8,18.3,11.6,36.4,10.2,20.6,9.3,6.7,36.1,7.4
3月9日,金,33.4,10.1,39.7,38.6,60.9,41.7,28,61.2,39.8,42,28.1,14
3月10日,土,33.4,10.1,39.7,38.6,60.9,41.7,28,61.2,39.8,42,28.1,14
3月11日,日,33.4,10.1,39.7,38.6,60.9,41.7,28,61.2,39.8,42,28.1,14
3月12日,月,15.1,6,13.9,20.6,25.4,5.8,9.8,25.3,24.7,12.6,5.9,8.9
3月13日,火,5.9,3.1,14.5,20.1,22.7,8.8,11.7,33.6,18.2,11.8,12.7,10.3
3月14日,水,9.4,8,18.4,18.1,23,25.3,10.8,29,15.8,15.2,12,28.5
3月15日,木,3.4,3.7,11.8,7.7,6.6,7.7,7.1,7.7,7.8,2.2,6.5,3.4
3月16日,金,7.4,7.4,12.3,10.6,22.7,13.9,6.8,14,15.7,11.4,12.8,3
3月17日,土,7.4,7.4,12.3,10.6,22.7,13.9,6.8,14,15.7,11.4,12.8,3
3月18日,日,7.4,7.4,12.3,10.6,22.7,13.9,6.8,14,15.7,11.4,12.8,3
3月19日,月,11.4,7.1,6.9,13.4,10.6,11.8,12.6,16.4,10.8,5.5,7.4,2.1
3月20日,火,4,2,3.2,2.2,4.7,8.2,12.4,11.6,8,3.4,4.8,6.2
3月21日,水,4,2,3.2,2.2,4.7,8.2,12.4,11.6,8,3.4,4.8,6.2
3月22日,木,18.8,16.4,12.5,4,15.5,11.7,33.3,70.6,35.5,49.7,29.7,14.5
3月23日,金,13.8,8.3,23.7,24.5,30.8,44.4,16.7,43.2,23.1,19.9,19.3,8.8
3月24日,土,13.8,8.3,23.7,24.5,30.8,44.4,16.7,43.2,23.1,19.9,19.3,8.8
3月25日,日,13.8,8.3,23.7,24.5,30.8,44.4,16.7,43.2,23.1,19.9,19.3,8.8
3月26日,月,82.1,50.8,87.4,38.6,79.3,34.5,84.5,147.2,62.3,27.7,82.4,58.3
3月27日,火,55.8,31.7,50.1,43.6,51.4,110.1,28.4,79.1,30.6,29.6,82.1,34.3
3月28日,水,26.7,46.7,44.6,65.9,47.2,72.5,74,69.8,53.1,72.2,41.3,43.2
3月29日,木,50.6,125.5,126.9,175,257.5,196.3,9.6,97.6,52.4,39.5,44.1,1.5
3月30日,金,12.4,16.3,36,22.8,24.8,43.2,14.2,38.3,12.5,25.8,19.8,6.8
3月31日,土,12.4,16.3,36,22.8,24.8,43.2,14.2,38.3,12.5,25.8,19.8,6.8
3月合計,,759.8,615,1139.7,1093.9,1443.1,1729.8,925.5,1717.1,1016.4,908.9,944.5,495.7
4月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
4月1日,日,12.4,16.3,36,22.8,24.8,43.2,14.2,38.3,12.5,25.8,19.8,6.8
4月2日,月,7.4,4.4,4.3,1.5,4.3,21.9,16.1,27.5,28.1,1.9,9,5.1
4月3日,火,6,10.9,5.6,2.8,5.5,18.8,9.9,8.3,3.7,6.4,6.5,6.6
4月4日,水,1.5,1.9,12.1,1.7,14.2,13.9,14.5,8.7,16.1,14.2,5,8.6
4月5日,木,9.5,3.7,6.1,12.2,10.5,25.4,23.7,10.2,7.4,14.5,4.4,6.8
4月6日,金,3.3,2.3,2.9,2.9,5.8,14.1,10.5,5.4,3.6,11.4,1,0.8
4月7日,土,3.3,2.3,2.9,2.9,5.8,14.1,10.5,5.4,3.6,11.4,1,0.8
4月8日,日,3.3,2.3,2.9,2.9,5.8,14.1,10.5,5.4,3.6,11.4,1,0.8
4月9日,月,5.1,6.6,8,1.2,3,13,20.3,8.9,7.7,7.4,4.3,5.6
4月10日,火,35.5,19.3,20,31.4,44.8,21.4,12.4,58.4,27.2,20.7,12.4,7.7
4月11日,水,9.8,11.8,6.1,3,16.3,14.8,4.6,10.5,8.6,7.1,5.6,1.8
4月12日,木,12.6,4.1,16.7,11.1,15,13.2,24.4,18.6,7.1,8.9,8.3,8.3
4月13日,金,9.1,3.8,11.4,10.7,20.4,4.1,20.5,21,15.6,10.2,5,5.8
4月14日,土,9.1,3.8,11.4,10.7,20.4,4.1,20.5,21,15.6,10.2,5,5.8
4月15日,日,9.1,3.8,11.4,10.7,20.4,4.1,20.5,21,15.6,10.2,5,5.8
4月16日,月,0,0.6,3.7,1.8,3.6,3.1,3.7,0.6,3.4,1.2,1.8,1.9
4月17日,火,0.3,2.2,1.5,0.3,4.1,0.3,0,0,0.6,0.3,0.9,1.5
4月18日,水,0,0.3,1.2,0.9,0.9,0,2.8,0.3,0,0.3,0,0.3
4月19日,木,2.8,0.3,1.7,1.8,0.8,2.8,3.1,2.1,0.3,0.9,1.5,1.5
4月20日,金,0.9,1.1,1.8,2.6,1.3,4.4,1.8,1.4,0.7,2.3,1.8,2.8
4月21日,土,0.9,1.1,1.8,2.6,1.3,4.4,1.8,1.4,0.7,2.3,1.8,2.8
4月22日,日,0.9,1.1,1.8,2.6,1.3,4.4,1.8,1.4,0.7,2.3,1.8,2.8
4月23日,月,2.7,3.4,5,4.5,11.6,8.5,2.5,8.3,1.5,1.2,2.8,3.7
4月24日,火,1.2,0.9,1.9,0.3,2.8,1.7,1.5,1.2,0.9,0.9,0.3,0
4月25日,水,1.2,0.6,6.2,0.6,1.2,2,1.8,4.9,1.8,2.1,1.2,1.2
4月26日,木,8.3,1.5,8.9,8.9,8.4,7.4,0.9,10.5,3.7,2.4,1.8,0.9
4月27日,金,2.9,1.2,1.7,2,2.7,2.7,4.1,3.6,2.5,2.9,1.8,2
4月28日,土,2.9,1.2,1.7,2,2.7,2.7,4.1,3.6,2.5,2.9,1.8,2
4月29日,日,2.9,1.2,1.7,2,2.7,2.7,4.1,3.6,2.5,2.9,1.8,2
4月30日,月,2.9,1.2,1.7,2,2.7,2.7,4.1,3.6,2.5,2.9,1.8,2
4月合計,,167.8,115.2,200.1,163.4,265.1,290,271.2,315.1,200.3,199.5,116.2,104.5
5月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
5月1日,火,0,0,0.9,0,0,0.3,0.9,0,0.3,0,0.3,0.3
5月2日,水,0.6,0.2,1.2,1.6,1,0.9,0.6,0.4,0.4,0.7,0.1,0.3
5月3日,木,0.6,0.2,1.2,1.6,1,0.9,0.6,0.4,0.4,0.7,0.1,0.3
5月4日,金,0.6,0.2,1.2,1.6,1,0.9,0.6,0.4,0.4,0.7,0.1,0.3
5月5日,土,0.6,0.2,1.2,1.6,1,0.9,0.6,0.4,0.4,0.7,0.1,0.3
5月6日,日,0.6,0.2,1.2,1.6,1,0.9,0.6,0.4,0.4,0.7,0.1,0.3
5月7日,月,0.3,0.3,0,0,0,0.5,0.3,0,0.6,0,0,0
5月8日,火,2.6,1.5,1.9,2.2,3.1,0.9,0.3,2.5,3.4,1.2,0.9,2.2
5月9日,水,0.9,1.9,0,0.6,4.3,0.6,0.9,1.5,0,0.9,0.6,0.6
5月10日,木,1.5,1.8,3.1,3.7,3.1,2.1,0,0,0,0,1.2,0
5月11日,金,0.7,0,0.4,0.3,0.9,0.2,0,0.3,0,0,0.2,0.2
5月12日,土,0.7,0,0.4,0.3,0.9,0.2,0,0.3,0,0,0.2,0.2
5月13日,日,0.7,0,0.4,0.3,0.9,0.2,0,0.3,0,0,0.2,0.2
5月合計,,10.4,6.5,13.1,15.4,18.2,9.5,5.4,6.9,6.3,5.6,4.1,5.2
累計,,1514.7,1163.6,1993.7,1874.1,2653.9,3041.1,1786.8,3013,2096.8,1800,1618,845.7
