1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
1月4日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月5日,金,0.3,0,0.2,0.1,0.1,0,0,0,0,0,0,0.1
1月6日,土,0.3,0,0.2,0.1,0.1,0,0,0,0,0,0,0.1
1月7日,日,0.3,0,0.2,0.1,0.1,0,0,0,0,0,0,0.1
1月8日,月,0.3,0,0.2,0.1,0.1,0,0,0,0,0,0,0.1
1月9日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月10日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月11日,木,0,0,0.3,0.3,0,0,0,0,0,0,0,0
1月12日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月15日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,火,0.3,0,0,0,0.3,0,0,0,0,0,0,0
1月17日,水,0,0,0,0,0,0,0,1.2,0,0,0,0
1月18日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,火,0,0,0,0.3,0.3,0,0,0,0,0,0,0
1月24日,水,0,0,0,0,0.3,0,0,0,0,0,0,0
1月25日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月26日,金,0.3,0,0,0,0.2,0,0,0,0,0,0,0
1月27日,土,0.3,0,0,0,0.2,0,0,0,0,0,0,0
1月28日,日,0.3,0,0,0,0.2,0,0,0,0,0,0,0
1月29日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,火,0,0,0,0.3,0,0,0,0,0,0,0,0
1月31日,水,1.1,0.9,1.2,1.1,1.2,0,0.3,0,0.6,0,0.3,0.6
1月合計,,3.5,0.9,2.3,2.4,3.1,0,0.3,1.2,0.6,0,0.3,1
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
2月1日,木,1.5,0,1.5,0.6,1.5,0.5,0.3,1.5,0.3,0,0.3,0.9
2月2日,金,1.1,0.5,0.8,0.7,0.7,2,0.3,1,0.7,0.6,0.7,0.1
2月3日,土,1.1,0.5,0.8,0.7,0.7,2,0.3,1,0.7,0.6,0.7,0.1
2月4日,日,1.1,0.5,0.8,0.7,0.7,2,0.3,1,0.7,0.6,0.7,0.1
2月5日,月,0.3,2.2,0.9,0.9,1.2,0.9,0.3,0,0.9,0,0,0
2月6日,火,0.9,0.6,1.5,1.9,2.2,13.9,0.9,4.3,2.2,3.4,2.5,1.2
2月7日,水,0.3,0.5,1.7,1.5,3.7,9,2.5,7.7,8.3,2.8,0.6,0.3
2月8日,木,4.9,5.1,5.9,4.3,3.5,15.4,7.1,9,7.4,8.6,5.6,3.7
2月9日,金,16.8,8.7,12.1,11.1,15,16.5,8.3,29.6,16.5,20.4,17.2,5.1
2月10日,土,16.8,8.7,12.1,11.1,15,16.5,8.3,29.6,16.5,20.4,17.2,5.1
2月11日,日,16.8,8.7,12.1,11.1,15,16.5,8.3,29.6,16.5,20.4,17.2,5.1
2月12日,月,16.8,8.7,12.1,11.1,15,16.5,8.3,29.6,16.5,20.4,17.2,5.1
2月13日,火,15.9,8.8,13,16.8,44,7.7,6.8,12.3,5.6,7.1,6.2,3.1
2月14日,水,23.9,12.2,12.8,15.9,25.2,12,8,17.3,17.9,7.7,16.4,30.2
2月15日,木,40.9,19.8,90.6,89.2,66.2,42,17.9,72.8,30.1,14.5,30.2,8.6
2月16日,金,5.5,7.6,11.5,8.5,11.4,31.8,15.4,22.2,16.6,27.5,10.5,3.8
2月17日,土,5.5,7.6,11.5,8.5,11.4,31.8,15.4,22.2,16.6,27.5,10.5,3.8
2月18日,日,5.5,7.6,11.5,8.5,11.4,31.8,15.4,22.2,16.6,27.5,10.5,3.8
2月19日,月,50.8,24.4,45.5,29.6,52.5,53.7,14.8,41.4,48.8,19.4,34.9,22.1
