1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
3月17日,木,275.6,122,408.6,402.8,276.5,942.6,936.1,812,639.2,745.4,894.4,370.6,,
3月18日,金,415.1,242,367.6,413.2,550.4,1914.3,1516.5,885.3,1084.9,942,694.1,1206,,
3月19日,土,415.1,242,367.6,413.2,550.4,1914.3,1516.5,885.3,1084.9,942,694.1,1206,,
3月20日,日,415.1,242,367.6,413.2,550.4,1914.3,1516.5,885.3,1084.9,942,694.1,1206,,
3月21日,月,415.1,242,367.6,413.2,550.4,1914.3,1516.5,885.3,1084.9,942,694.1,1206,,
3月22日,火,39.5,29,45.7,56.5,94.7,347.9,214.2,88.6,261.7,221.2,88.4,134.8,,
3月23日,水,36.4,39.2,68.2,25.6,54,65.4,68.5,42.9,64.5,90.4,46.5,27.4,,
3月24日,木,294.2,71.6,369.4,265.1,41.7,926.5,1502.7,303.7,585.2,533.6,332.8,379,,
3月25日,金,187.6,85.4,237.5,131,172.3,403,342.8,181.6,241.4,186.8,132.9,16,,
3月26日,土,187.6,85.4,237.5,131,172.3,403,342.8,181.6,241.4,186.8,132.9,13,,
3月27日,日,187.6,85.4,237.5,131,172.3,403,342.8,181.6,241.4,186.8,132.9,16,,
3月28日,月,28.4,15.4,69.2,35.2,9.5,22.9,83.3,79.4,25.9,104.6,98.8,69.2,,
3月29日,火,282.1,325,365.1,442.9,347,1094.4,593.5,1090.4,1597.2,849.1,426.6,438.5,,
3月30日,水,307.1,142,488.6,391.1,485.2,937.7,724.4,353.5,602,444.5,482.7,264.1,,
3月31日,木,135.2,45,129,104.9,277.8,132.4,303.3,234.2,351.2,242.3,106.2,157.2,,
3月合計,,5741.4,3466.9,6576,5922.7,6785.1,18518.8,15655.3,9870.2,12608.9,10539.6,7719.5,8159.7,,
4月　　,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
4月1日,金,84.1,32.5,29,90.2,5.4,39.7,103.3,59.5,122.5,48.3,16.6,35.6,,
4月2日,土,84.1,32.5,29,90.2,5.4,39.7,103.3,59.5,122.5,48.3,16.6,35.6,,
4月3日,日,84.1,32.5,29,90.2,5.4,39.7,103.3,59.5,122.5,48.3,16.6,35.6,,
4月4日,月,339.2,246.2,500.6,423.7,812,227.7,186.1,555.9,650.6,484.3,209.3,231.4,,
4月5日,火,461.1,277.8,380.9,277.7,462.9,144.1,249,286.4,327.1,278.4,88.9,523.4,,
4月6日,水,574.7,231.2,842.6,264.8,534,1369.7,679,1116.3,439.8,656.5,541.6,514.4,,
4月7日,木,657.7,467.3,1233.4,844.8,173.5,4740.7,2585.5,1189.9,1168,1129.6,495.1,403.3,,
4月8日,金,291.9,168.1,357.4,331.8,533.5,2957.4,932.1,620,663.9,1039.7,913.6,248.8,,
4月9日,土,291.9,168.1,357.4,331.8,533.5,2957.4,932.1,620,663.9,1039.7,913.6,248.8,,
4月10日,日,291.9,168.1,357.4,331.8,533.5,2957.4,932.1,620,663.9,1039.7,913.6,248.8,,
4月11日,月,27.5,81.2,43.5,57,1.5,255.5,210.1,34.6,85.5,26.2,35.8,5.5,,
4月12日,火,39.5,21,23.6,27.5,22.5,7.7,6.8,5.2,11.5,5.6,8,3.9,,
4月13日,水,63.3,28.7,63.9,32.4,43.5,698.4,155.7,4.9,243.2,529.7,145.7,9.1,,
4月14日,木,80.5,40.1,41.9,76.5,83.6,251.2,260.9,135.2,129.9,241,113.5,66.8,,
4月15日,金,267,165,364.2,240.7,332,264.7,380.4,320.2,156.1,286.7,134.5,316.9,,
4月16日,土,267,165,364.2,240.7,332,264.7,380.4,320.2,156.1,286.7,134.5,316.9,,
4月17日,日,267,165,364.2,240.7,332,264.7,380.4,320.2,156.1,286.7,134.5,316.9,,
4月18日,月,87.1,122.9,155.9,121.3,203.4,91.4,120.7,40.7,91.7,58.4,89,66.9,,
4月19日,火,19.4,16.4,24,44.4,27.5,17.6,33.5,35.2,17.9,10.8,8.6,9.2,,
4月20日,水,24.4,19,28.1,9.6,27.4,4.9,3.3,7.7,10.5,3.7,5.5,3.6,,
4月21日,木,53.1,61.4,73.6,64.2,79,47.9,75.9,133.6,32.7,58.9,21.5,7,,
4月22日,金,40.2,13.1,65.6,52.9,83.3,129,,87,32.1,140.7,13.6,17.5,,
4月23日,土,40.2,13.1,65.6,52.9,83.3,129,,87,32.1,140.7,13.6,17.5,,
4月24日,日,40.2,13.1,65.6,52.9,83.3,129,,87,32.1,140.7,13.6,17.5,,
4月25日,月,5.6,3.1,2.8,6.5,5.2,24.1,32.1,13,3.7,10.8,4.3,4.3,,
4月26日,火,16.4,49.1,30.7,22.2,15.2,39.5,38.4,24,18.8,23.4,5.9,2.1,,
4月27日,水,19.4,17.9,33.9,21,26.6,60.5,25.9,23.1,9.3,28,25.9,5.2,,
4月28日,木,35.7,13.4,41.8,35.1,21.2,21.2,62.1,8.5,4.7,36.4,2.6,8.8,,
4月29日,金,35.7,13.4,41.8,35.1,21.2,21.2,62.1,8.5,4.7,36.4,2.6,8.8,,
4月30日,土,35.7,13.4,41.8,35.1,21.2,21.2,62.1,8.5,4.7,36.4,2.6,8.8,,
4月合計,,4625.6,2859.6,6053.4,4545.7,5444,18216.9,9096.6,6891.3,6178.1,8200.7,5041.3,3738.9,,
5月　　,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
5月1日,日,35.7,13.4,41.8,35.1,21.2,21.2,62.1,8.5,4.7,36.4,2.6,8.8,,
5月2日,月,21.9,10.2,24.5,12.1,29,2.8,14.8,19.8,3.8,17.8,3.4,11,,
5月3日,火,21.9,10.2,24.5,12.1,29,2.8,14.8,19.8,3.8,17.8,3.4,11,,
5月4日,水,21.9,10.2,24.5,12.1,29,2.8,14.8,19.8,3.8,17.8,3.4,11,,
5月5日,木,21.9,10.2,24.5,12.1,29,2.8,14.8,19.8,3.8,17.8,3.4,11,,
5月6日,金,3.7,1.7,6,1.4,4.1,4.3,4.7,3.8,2.4,4.9,2.1,1.6,,
5月7日,土,3.7,1.7,6,1.4,4.1,4.3,4.7,3.8,2.4,4.9,2.1,1.6,,
5月8日,日,3.7,1.7,6,1.4,4.1,4.3,4.7,3.8,2.4,4.9,2.1,1.6,,
5月9日,月,4.6,1.8,2.4,3.4,6.1,6.5,2.8,0.9,1.8,9.9,0.9,2.2,,
5月10日,火,6.8,0,4,4.3,4.9,17.2,4.4,6.8,1.5,6.8,1.2,5.2,,
5月11日,水,5.5,8.1,1.9,1.2,4,2.8,0.3,4,1.2,4.3,0.9,1.5,,
5月12日,木,0.9,1.5,1.8,1.8,3.4,2.2,0.6,1.8,1.2,1.8,0.6,0.6,,
5月13日,金,4,1,4.6,0.9,1.5,0.8,4.6,4.6,5,3.1,0.1,1.1,,
5月14日,土,4,1,4.6,0.9,1.5,0.8,4.6,4.6,5,3.1,0.1,1.1,,
5月15日,日,4,1,4.6,0.9,1.5,0.8,4.6,4.6,5,3.1,0.1,1.1,,
5月合計,,164.2,73.7,181.7,101.1,172.4,76.4,157.3,126.4,47.8,154.4,26.4,70.4,0,0
累計,,"10,625","6,444","12,897","10,618","12,481","36,889","24,958","16,956","18,914","18,938","12,849","12,345",,
